chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
scaffold_100017.1-143775	40100	40101	AluID:68589	chr3:136381889:136381890	-	19	-22.71	4	4	4
scaffold_100043.1-578039	316786	316787	AluID:68839	chr3:138093743:138093744	+	18	0.34	16	16	5
scaffold_100168.1-166751	97776	97777	AluID:69612	chr3:148429568:148429569	+	19	-14.18	NA	18	NA
scaffold_100195.1-61398	38864	38865	AluID:69903	chr3:150383614:150383615	-	21	1.88	14	14	6
scaffold_100251.1-160817	61474	61475	AluID:70291	1	+	20	-7.67	14	14	8
scaffold_100340.1-504172	238445	238446	AluID:314230	chr20:20038385:20038386	-	19	8.45	8	8	8
scaffold_100409.1-78197	17871	17872	AluID:313828	chr20:16428590:16428591	+	18	-0.91	3	3	3
scaffold_100476.1-364507	353834	353835	AluID:313332	chr20:10419140:10419141	-	22	-5.52	17	17	6
scaffold_100563.1-121398	56206	56207	AluID:312573	chr20:3360234:3360235	+	21	1.61	12	12	6
scaffold_100597.1-15124	8088	8089	AluID:312127	chr20:423740:423741	+	18		NA	NA	7
scaffold_100601.1-40883	8492	8493	AluID:312099	chr20:262588:262589	+	18	-17.45	NA	9	NA
scaffold_100610.1-93706	89797	89798	AluID:314715	1	+	20	-12.97	6	6	5
scaffold_100613.1-212013	120086	120087	AluID:314844	chr20:30786434:30786435	-	18	1.72	7	7	7
scaffold_100616.1-173485	131732	131733	AluID:315134	chr20:31416762:31416763	+	21	1.86	15	15	15
scaffold_100629.1-217405	153534	153535	AluID:315408	chr20:32147332:32147333	+	21	-8.06	10	6	10
scaffold_100636.1-12250	1165	1166	AluID:315488	chr20:32330020:32330021	+	22	0.09	7	7	6
scaffold_100636.1-12250	7805	7806	AluID:315501	chr20:32337569:32337570	+	21	-5.77	22	22	6
scaffold_100669.1-69259	61878	61879	AluID:316238	-1	-	20	-8.39	14	14	6
scaffold_100678.1-5652	4710	4711	AluID:316445	chr20:34480316:34480317	+	18	2.65	5	5	5
scaffold_100680.1-92184	19591	19592	AluID:316508	chr20:34575797:34575798	+	21	-10.42	8	8	5
scaffold_100699.1-58496	25164	25165	AluID:316974	chr20:35655099:35655100	-	19	-32.82	6	3	6
scaffold_100760.1-132757	123297	123298	AluID:148984	chr8:124396328:124396329	-	21	-9.25	10	10	7
scaffold_100833.1-128815	81368	81369	AluID:318459	chr20:46136397:46136398	+	21	-14.09	NA	14	NA
scaffold_100854.1-531859	270546	270547	AluID:97927	chr5:133514476:133514477	-	18	-8.86	6	6	5
scaffold_101008.1-145330	74934	74935	AluID:320115	chr20:62242963:62242964	-	19	-4.51	7	7	5
scaffold_101130.1-348895	326663	326664	AluID:225313	chr13:33794834:33794835	+	21	-11.61	5	5	4
scaffold_101134.1-199645	90353	90354	AluID:225279	1	-	20	-3.82	5	2	5
scaffold_101194.1-106833	48315	48316	AluID:224816	chr13:28934242:28934243	+	19	-10.75	6	5	6
scaffold_101201.1-43829	4829	4830	AluID:18372	1	-	20	-8.29	NA	7	NA
scaffold_101232.1-54777	9556	9557	AluID:224534	1	-	20	-3.88	14	14	7
scaffold_101291.1-161499	9260	9261	AluID:223936	chr13:21473221:21473222	+	22	-13.88	7	2	7
scaffold_101300.1-149780	108485	108486	AluID:223668	chr13:20352071:20352072	+	21	-14.76	7	6	7
scaffold_101389.1-333746	185478	185479	AluID:140470	1	-	20	2.79	23	23	5
scaffold_101389.1-333746	216627	216628	AluID:233356	chr14:55615397:55615398	+	19	-6.04	9	9	4
scaffold_101434.1-54990	45019	45020	AluID:139787	chr8:22871019:22871020	-	21	-10.70	5	5	3
scaffold_10151.1-139757	85176	85177	AluID:172174	chrX:122736855:122736856	+	18	-7.02	18	18	4
scaffold_101560.1-218156	155868	155869	AluID:52274	chr2:231946808:231946809	+	22	-6.85	5	4	5
scaffold_101703.1-206448	120839	120840	AluID:223172	1	-	20	2.30	28	28	10
scaffold_101712.1-137191	100614	100615	AluID:223083	chr12:132273075:132273076	-	21	-14.81	15	15	6
scaffold_101733.1-384746	284813	284814	AluID:222638	chr12:125572790:125572791	-	19	-19.19	6	6	3
scaffold_101770.1-25308	18051	18052	AluID:222048	-1	+	20	-0.10	19	7	19
scaffold_101786.1-101645	73970	73971	AluID:127211	chr7:73753624:73753625	+	18	-14.99	14	13	6
scaffold_101792.1-269001	261652	261653	AluID:221358	chr12:122383577:122383578	-	19	-4.92	15	15	5
scaffold_101801.1-271485	112846	112847	AluID:221085	chr12:121913519:121913520	+	22	-14.40	16	4	16
scaffold_101801.1-271485	66527	66528	AluID:221131	-1	+	20	0.71	7	5	7
scaffold_101808.1-48341	41512	41513	AluID:189302	-1	+	20	-11.22	5	4	5
scaffold_101817.1-7222	526	527	AluID:218178	chr12:110755245:110755246	+	22	-16.09	20	20	7
scaffold_101850.1-161220	112281	112282	AluID:218758	chr12:112147902:112147903	+	19	-20.29	15	15	14
scaffold_101863.1-162266	112880	112881	AluID:219243	chr12:112916549:112916550	+	18	-3.86	13	13	8
scaffold_101863.1-162266	82328	82329	AluID:219209	chr12:112886025:112886026	+	22	-0.57	7	5	7
scaffold_1019.1-100519	96749	96750	AluID:23897	chr1:200064708:200064709	+	18	-7.04	8	4	8
scaffold_101936.1-370033	368604	368605	AluID:220035	-1	-	20	-16.70	13	13	5
scaffold_102002.1-84753	77124	77125	AluID:220874	chr12:121475577:121475578	-	19		NA	NA	7
scaffold_102008.1-164187	50410	50411	AluID:218027	chr12:110446899:110446900	-	18	-0.09	7	7	4
scaffold_102046.1-202192	149779	149780	AluID:325671	chr22:26013767:26013768	+	19	-14.66	9	9	9
scaffold_102100.1-943	181	182	AluID:326173	1	+	20	-24.34	14	9	14
scaffold_102114.1-67726	53975	53976	AluID:326367	chr22:29918990:29918991	-	22	1.63	14	14	6
scaffold_102124.1-217539	146844	146845	AluID:326621	chr22:30513529:30513530	+	19	-28.75	6	6	6
scaffold_102141.1-170203	119525	119526	AluID:326931	chr22:31358576:31358577	-	19	2.36	10	10	6
scaffold_102164.1-117413	43529	43530	AluID:327208	chr22:31943618:31943619	+	18	-17.22	NA	8	NA
scaffold_102190.1-151286	131578	131579	AluID:325160	chr22:23646138:23646139	+	22	-3.75	16	16	3
scaffold_102235.1-124660	6932	6933	AluID:324327	chr22:19224294:19224295	+	18	-21.48	6	3	6
scaffold_102249.1-114294	114184	114185	AluID:324745	chr22:21206419:21206420	+	19	-11.17	NA	16	NA
scaffold_102253.1-101438	85187	85188	AluID:324843	chr22:21780016:21780017	-	22	-20.27	8	6	8
scaffold_102290.1-437347	335731	335732	AluID:180764	chr10:56630554:56630555	+	21	-33.29	8	8	6
scaffold_102360.1-8718	670	671	AluID:212235	chr12:54009176:54009177	+	18	-2.18	6	3	6
scaffold_102392.1-91973	44135	44136	AluID:211900	-1	+	20	-3.56	7	7	4
scaffold_102412.1-172682	162381	162382	AluID:211592	chr12:51465372:51465373	+	18	-22.52	5	5	5
scaffold_102412.1-172682	81963	81964	AluID:211667	chr12:51561848:51561849	+	18	-12.43	5	3	5
scaffold_102430.1-59704	8363	8364	AluID:211172	chr12:50754452:50754453	+	19	-31.04	10	6	10
scaffold_102432.1-21520	13166	13167	AluID:211117	chr12:50640016:50640017	+	22	-2.55	8	8	5
scaffold_102460.1-104535	88182	88183	AluID:24376	-1	+	20	-30.62	6	3	6
scaffold_102471.1-195686	138753	138754	AluID:43377	1	+	20	-15.56	10	10	8
scaffold_102479.1-102649	53379	53380	AluID:210429	chr12:48495052:48495053	+	18	-29.24	16	16	6
scaffold_102518.1-26588	236	237	AluID:210267	1	-	20	4.00	NA	NA	NA
scaffold_102621.1-195698	66559	66560	AluID:209475	chr12:32640691:32640692	-	18	-18.54	6	6	4
scaffold_102700.1-23640	4988	4989	AluID:208780	chr12:26965500:26965501	+	18	-17.32	NA	6	NA
scaffold_102737.1-182403	41368	41369	AluID:264425	1	-	20	-12.38	6	6	6
scaffold_102740.1-555524	348404	348405	AluID:208484	-1	+	20	-9.32	10	4	10
scaffold_102884.1-34614	30290	30291	AluID:207494	1	-	20	0.76	5	4	5
scaffold_102920.1-211407	143632	143633	AluID:48287	chr2:198354574:198354575	-	21	3.37	16	16	6
scaffold_102959.1-123917	41539	41540	AluID:206617	chr12:7116052:7116053	+	19	-0.57	11	11	7
scaffold_102971.1-104939	44767	44768	AluID:206496	chr12:6870130:6870131	+	19	-6.41	16	16	6
scaffold_102977.1-119812	104395	104396	AluID:206423	chr12:6698929:6698930	+	19	-2.44	5	2	5
scaffold_102993.1-444437	53440	53441	AluID:206319	chr12:6229007:6229008	+	19	-1.47	13	13	4
scaffold_103033.1-125358	36438	36439	AluID:205980	chr12:3023308:3023309	-	21	-2.53	NA	9	NA
scaffold_103033.1-125358	72113	72114	AluID:205959	chr12:3002994:3002995	-	19	-7.61	5	5	4
scaffold_103033.1-125358	83690	83691	AluID:205949	chr12:2990287:2990288	-	21	-0.60	6	5	6
