chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	1000255	1000256	AluID:174801	1	+	20	-5.74	24	24	6
chr10	100051017	100051018	AluID:187123	-1	-	20	2.86	7	7	3
chr10	100307656	100307657	AluID:187189	-1	-	20	2.02	6	6	4
chr10	100922642	100922643	AluID:187253	chr10:102682400:102682401	+	19	0.03	17	9	17
chr10	100957357	100957358	AluID:187271	1	+	20	-5.74	37	37	15
chr10	100992224	100992225	AluID:187281	chr10:102751980:102751981	+	21	-5.74	26	26	7
chr10	101358127	101358128	AluID:187304	chr10:103117883:103117884	+	21	-0.46	10	5	10
chr10	101408312	101408313	AluID:187350	chr10:103168070:103168071	+	19	-0.67	9	9	6
chr10	101621520	101621521	AluID:187428	chr10:103381278:103381279	-	21	-4.32	7	7	7
chr10	101870042	101870043	AluID:187493	chr10:103629798:103629799	-	19	0.88	6	5	6
chr10	101878261	101878262	AluID:187504	chr10:103638019:103638020	-	21	-2.94	6	5	6
chr10	102000066	102000067	AluID:187581	-1	-	20	-17.13	7	7	5
chr10	102278296	102278297	AluID:187663	chr10:104038052:104038053	+	21	-11.03	14	14	6
chr10	102287373	102287374	AluID:187665	chr10:104047131:104047132	+	19	4.74	27	27	3
chr10	102331871	102331872	AluID:187688	1	+	20	-5.74	26	26	5
chr10	102340594	102340595	AluID:187695	chr10:104100349:104100350	+	22	7.37	7	7	5
chr10	1023475	1023476	AluID:174806	chr10:1069417:1069418	-	22	-5.21	17	17	7
chr10	102359794	102359795	AluID:187702	chr10:104119549:104119550	+	22	-4.78	15	15	4
chr10	102501071	102501072	AluID:187740	chr10:104260830:104260831	-	22	-4.34	12	12	6
chr10	102754429	102754430	AluID:187842	chr10:104514184:104514185	+	22	-17.13	8	8	5
chr10	102790530	102790531	AluID:187877	chr10:104550286:104550287	+	21	-0.26	7	5	7
chr10	103022925	103022926	AluID:188002	chr10:104782683:104782684	+	19	3.10	9	9	6
chr10	103151456	103151457	AluID:188043	chr10:104911215:104911216	-	22	3.94	15	15	5
chr10	103172203	103172204	AluID:188062	chr10:104931959:104931960	-	19	1.48	6	6	6
chr10	103187242	103187243	AluID:188079	-1	-	20	-6.51	7	7	5
chr10	103338071	103338072	AluID:188119	chr10:105097827:105097828	-	19	-6.93	21	21	6
chr10	103380980	103380981	AluID:188144	chr10:105140738:105140739	+	19	-14.25	6	6	5
chr10	103382525	103382526	AluID:188147	chr10:105142281:105142282	+	21	-10.95	12	4	12
chr10	103407601	103407602	AluID:188166	chr10:105167357:105167358	+	21	-13.64	11	4	11
chr10	103420886	103420887	AluID:188180	chr10:105180642:105180643	+	21	-6.50	12	12	5
chr10	103425697	103425698	AluID:188182	chr10:105185452:105185453	+	22	2.84	10	10	5
chr10	103557919	103557920	AluID:188225	chr10:105317674:105317675	+	22	-3.19	9	9	6
chr10	103566988	103566989	AluID:188229	chr10:105326747:105326748	+	18	-4.44	14	14	5
chr10	103567411	103567412	AluID:188230	1	+	20	-1.18	7	7	6
chr10	103631255	103631256	AluID:188240	chr10:105391014:105391015	-	21	-6.95	5	3	5
chr10	104287084	104287085	AluID:188354	chr10:106046840:106046841	+	22	-26.51	5	4	5
chr10	104933838	104933839	AluID:188401	chr10:106693598:106693599	+	18	-0.03	6	6	5
chr10	104943155	104943156	AluID:188402	chr10:106702914:106702915	+	19	-27.89	9	9	4
chr10	106810214	106810215	AluID:188486	chr10:108569971:108569972	-	19	-3.41	11	11	5
chr10	106814913	106814914	AluID:188488	chr10:108574672:108574673	-	21	2.79	21	21	7
chr10	106962404	106962405	AluID:188533	chr10:108722161:108722162	-	19	-5.14	21	21	5
chr10	107016501	107016502	AluID:188550	chr10:108776258:108776259	-	19	2.36	10	10	5
chr10	107124091	107124092	AluID:188567	chr10:108883848:108883849	-	19	-5.44	16	15	16
chr10	110036397	110036398	AluID:188602	chr10:111796153:111796154	+	22	-4.70	20	20	5
chr10	110283283	110283284	AluID:188640	chr10:112043042:112043043	+	19	-6.01	15	15	10
chr10	1105811	1105812	AluID:174826	chr10:1151753:1151754	+	18	-17.85	8	8	6
chr10	110582951	110582952	AluID:188646	chr10:112342710:112342711	+	19	4.77	16	16	6
