chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
scaffold_100813	634	635	AluID:281934	chr17:58792503:58792504	+	18	-11.33	13	5	13
scaffold_101132	4305	4306	AluID:28147	chr1:236036210:236036211	+	18	0.77	11	11	7
scaffold_10118	45086	45087	AluID:280314	chr17:49194108:49194109	-	18	-26.41	10	10	9
scaffold_10177	18535	18536	AluID:74747	chr3:197682152:197682153	+	19	-8.57	NA	10	NA
scaffold_10183	18922	18923	AluID:330731	chr22:45904184:45904185	+	19	-17.50	18	18	13
scaffold_102004	1309	1310	AluID:271581	chr17:9933172:9933173	-	22	-14.21	4	4	4
scaffold_10207	12708	12709	AluID:297919	chr19:11526031:11526032	-	22	-4.84	7	3	7
scaffold_102676	4134	4135	AluID:280950	1	-	20	3.93	6	6	4
scaffold_1029	207640	207641	AluID:159819	chr9:123986388:123986389	+	22	-9.55	6	3	6
scaffold_1029	48763	48764	AluID:159781	chr9:123794348:123794349	-	22	-6.16	18	18	6
scaffold_10295	6974	6975	AluID:30677	chr2:11312872:11312873	+	19	5.54	5	5	5
scaffold_1031	310554	310555	AluID:186959	chr10:101425461:101425462	+	19	-5.01	NA	8	NA
scaffold_10325	14466	14467	AluID:281344	1	+	20	-23.81	9	5	9
scaffold_10328	18446	18447	AluID:229910	chr14:21716145:21716146	-	18	-7.97	8	8	7
scaffold_103293	4102	4103	AluID:320414	chr21:10995467:10995468	-	21	3.87	NA	14	NA
scaffold_1034	71161	71162	AluID:238800	chr14:91589960:91589961	+	22	-20.01	6	6	3
scaffold_1034	90503	90504	AluID:238823	1	+	20	-12.92	4	3	4
scaffold_1036	25275	25276	AluID:207526	1	-	20	0.87	7	5	7
scaffold_1036	36498	36499	AluID:207521	1	-	20	4.27	5	5	4
scaffold_1037	302682	302683	AluID:182829	chr10:73607040:73607041	-	18	0.05	4	4	4
scaffold_1040	62805	62806	AluID:1126	chr1:7451080:7451081	+	18	-6.68	8	8	6
scaffold_10424	8441	8442	AluID:78399	chr4:40852951:40852952	-	22	-31.07	NA	5	NA
scaffold_10449	17094	17095	AluID:303251	chr19:33539630:33539631	-	22	3.66	15	15	10
scaffold_10464	46518	46519	AluID:323604	chr21:47701910:47701911	-	22	-3.97	11	11	5
scaffold_1047	177738	177739	AluID:255128	chr16:5063878:5063879	+	19	-4.89	8	8	3
scaffold_10509	18577	18578	AluID:125080	chr7:56039179:56039180	+	19	-4.49	13	4	13
scaffold_10586	12725	12726	AluID:310124	chr19:53169414:53169415	+	21	1.96	8	8	5
scaffold_10594	38321	38322	AluID:41459	chr2:111615342:111615343	+	19	-11.67	7	4	7
scaffold_106021	562	563	AluID:306406	chr19:43330510:43330511	+	21	-5.10	17	17	6
scaffold_10602	76001	76002	AluID:281807	chr17:58556271:58556272	+	18	-5.90	19	19	6
scaffold_107014	1175	1176	AluID:277091	chr17:37880545:37880546	-	22	-4.49	7	5	7
scaffold_1071	359218	359219	AluID:35789	chr2:50316918:50316919	-	18	-6.26	6	3	6
scaffold_107	368798	368799	AluID:62857	chr3:61943810:61943811	+	19	-20.69	7	4	7
scaffold_10749	45589	45590	AluID:46001	chr2:170615066:170615067	+	21	-15.44	17	16	17
scaffold_1078	141697	141698	AluID:229304	chr13:108146216:108146217	+	22	-16.73	23	7	23
scaffold_1078	269657	269658	AluID:66585	chr3:122405330:122405331	+	21	-16.13	24	24	6
scaffold_10789	928	929	AluID:207319	chr12:12311280:12311281	-	19	2.30	17	17	6
scaffold_107	96021	96022	AluID:62773	chr3:61640071:61640072	+	19	-11.29	3	3	3
scaffold_10823	19901	19902	AluID:272902	-1	-	20	2.14	13	13	6
scaffold_1085	364124	364125	AluID:13505	1	+	20	-26.13	7	7	4
scaffold_10929	14117	14118	AluID:125729	1	+	20	-9.51	16	16	6
scaffold_109747	1280	1281	AluID:284820	chr17:73372108:73372109	-	21	-7.07	17	17	6
scaffold_10997	9500	9501	AluID:324096	chr22:18169289:18169290	+	21	-9.62	NA	8	NA
scaffold_1106	206151	206152	AluID:271259	chr17:9075220:9075221	+	22	-17.18	4	4	3
scaffold_1108	127094	127095	AluID:277756	1	-	20	-12.71	6	6	3
scaffold_110	925547	925548	AluID:206319	chr12:6229007:6229008	-	19	-18.96	2	2	2
scaffold_111	278981	278982	AluID:12627	-1	+	20	-7.25	7	6	7
scaffold_111350	1015	1016	AluID:90880	chr5:37540500:37540501	-	21	-0.57	9	9	8
scaffold_1113	73606	73607	AluID:316508	chr20:34575797:34575798	+	21	-11.42	17	17	6
scaffold_1120	235624	235625	AluID:149999	chr8:141672387:141672388	-	19	3.01	20	20	4
scaffold_1121	135747	135748	AluID:166016	chrX:22076949:22076950	+	19	-19.54	9	9	6
scaffold_11212	6335	6336	AluID:184804	chr10:88236106:88236107	-	19	-21.11	7	7	6
scaffold_112574	1302	1303	AluID:91704	1	-	20	-0.11	10	10	6
scaffold_112777	348	349	AluID:61649	chr3:54385023:54385024	-	22	-5.34	15	6	15
scaffold_11297	35853	35854	AluID:304533	chr19:37873639:37873640	+	22	-33.94	21	21	7
scaffold_11300	5866	5867	AluID:244566	chr15:44692536:44692537	+	19	-0.73	4	4	3
scaffold_11315	2187	2188	AluID:275895	chr17:34886121:34886122	-	21	-28.87	17	17	6
scaffold_11332	5703	5704	AluID:89589	-1	-	20	-9.98	6	6	5
scaffold_11335	13240	13241	AluID:83837	chr4:110764407:110764408	+	21	-2.22	4	3	4
scaffold_11353	7904	7905	AluID:325081	-1	-	20	-2.01	8	8	7
scaffold_11392	22511	22512	AluID:325096	chr22:22873766:22873767	-	19	-22.21	7	7	5
scaffold_11395	985	986	AluID:95971	chr5:107497184:107497185	-	21	-12.88	5	5	3
scaffold_11443	32683	32684	AluID:98787	chr5:137753778:137753779	+	22	-15.49	11	11	6
scaffold_1145	56127	56128	AluID:87540	chr4:170481152:170481153	-	18	-16.13	6	3	6
scaffold_1146	77610	77611	AluID:130257	-1	-	20	-12.36	16	16	7
scaffold_1150	31649	31650	AluID:24787	chr1:205146997:205146998	-	18	-16.52	13	13	5
scaffold_115072	357	358	AluID:289606	-1	+	20	1.66	13	13	9
scaffold_115095	451	452	AluID:55099	chr3:11686328:11686329	-	19	-5.48	18	18	3
scaffold_1151	95458	95459	AluID:13486	chr1:65356291:65356292	-	19	4.97	8	8	4
scaffold_1153	340322	340323	AluID:252925	chr15:93348167:93348168	-	22	-6.76	7	7	7
scaffold_1158	412265	412266	AluID:278380	chr17:42140575:42140576	+	21	-5.53	6	6	6
scaffold_11665	40773	40774	AluID:122960	chr7:32596403:32596404	+	18	3.01	19	19	8
scaffold_1169	168686	168687	AluID:26700	chr1:224787912:224787913	+	18	-11.00	10	10	5
scaffold_1169	33405	33406	AluID:26643	chr1:224632079:224632080	+	19	-12.57	7	7	6
scaffold_11745	7672	7673	AluID:312980	chr20:5576295:5576296	-	19	-8.15	17	17	6
scaffold_11747	50063	50064	AluID:229755	chr14:50987210:50987211	-	19	4.88	5	4	5
scaffold_1176	117148	117149	AluID:187046	chr10:101670954:101670955	-	19	-16.00	6	3	6
scaffold_118094	1121	1122	AluID:168558	chrX:53982672:53982673	-	19	-20.48	4	4	3
scaffold_11810	20464	20465	AluID:325818	chr22:26938203:26938204	+	19	-7.74	4	3	4
scaffold_11	843487	843488	AluID:317577	-1	-	20	2.30	17	17	6
scaffold_119	198866	198867	AluID:140146	chr8:26432283:26432284	-	21	1.15	6	6	5
scaffold_11920	18514	18515	AluID:1470	chr1:9006872:9006873	+	21	-13.21	6	6	3
scaffold_1198	108477	108478	AluID:158365	chr9:111721840:111721841	-	19	-29.67	5	5	3
scaffold_12040	44930	44931	AluID:4382	chr1:21414110:21414111	-	19	-8.30	7	7	7
scaffold_1205	154205	154206	AluID:307323	chr19:46126792:46126793	-	18	-11.22	10	2	10
scaffold_121090	38	39	AluID:131701	chr7:103846453:103846454	-	19	-12.60	NA	NA	NA
scaffold_12179	3806	3807	AluID:52552	chr2:233473781:233473782	+	22	-20.41	6	5	6
scaffold_121812	1057	1058	AluID:122493	chr7:27799494:27799495	+	18	-6.22	NA	4	NA
scaffold_121983	1028	1029	AluID:37735	chr2:69729755:69729756	-	19	-4.37	16	5	16
scaffold_12250	24395	24396	AluID:194509	chr11:35322557:35322558	-	19	-22.62	16	16	10
scaffold_123246	882	883	AluID:58378	1	-	20	-20.96	20	20	5
scaffold_123	324731	324732	AluID:185848	chr10:95396539:95396540	+	22	-15.26	15	3	15
scaffold_123	332601	332602	AluID:185849	chr10:95403179:95403180	+	21	-24.79	17	17	5
scaffold_12342	26599	26600	AluID:296161	chr19:7425127:7425128	+	18	-12.45	NA	4	NA
scaffold_12401	15041	15042	AluID:5700	1	+	20	-17.72	10	10	6
scaffold_124135	339	340	AluID:96030	1	-	20	-14.95	9	9	5
scaffold_124364	319	320	AluID:55013	chr3:11359074:11359075	+	18	-6.76	4	3	4
scaffold_1244	309084	309085	AluID:192993	chr11:17133427:17133428	-	19	-6.79	18	18	6
scaffold_124576	1126	1127	AluID:140665	-1	-	20	-6.13	11	11	6
scaffold_124	61547	61548	AluID:287614	chr18:5154062:5154063	-	18	-17.60	6	6	4
scaffold_1249	116666	116667	AluID:49817	chr2:206903521:206903522	+	18	2.95	12	12	7
scaffold_12505	19229	19230	AluID:168070	-1	+	20	-10.35	4	4	4
scaffold_12505	9823	9824	AluID:174663	chr10:118802:118803	-	21	-8.27	8	8	5
scaffold_1253	403135	403136	AluID:47701	chr2:190711597:190711598	+	19	-10.87	7	7	5
scaffold_12607	23260	23261	AluID:124747	chr7:48347292:48347293	+	22	-11.80	7	6	7
scaffold_1264	48230	48231	AluID:196474	chr11:61288299:61288300	+	19	2.77	NA	5	NA
scaffold_1269	96648	96649	AluID:203760	1	+	20	-14.32	12	12	6
scaffold_127	188895	188896	AluID:89113	chr5:11619516:11619517	+	18	-2.16	5	2	5
scaffold_12737	1833	1834	AluID:248226	chr15:65365318:65365319	+	19	-13.17	5	5	5
scaffold_12790	5753	5754	AluID:281984	chr17:58868426:58868427	+	18	-4.15	11	11	5
scaffold_12799	64951	64952	AluID:300252	chr19:16848397:16848398	+	21	-4.19	NA	5	NA
scaffold_12827	18878	18879	AluID:311994	-1	-	20	2.35	8	7	8
scaffold_1283	124220	124221	AluID:39813	-1	-	20	0.96	9	9	7
scaffold_1283	182607	182608	AluID:39815	-1	-	20	-21.28	5	5	5
scaffold_12834	35337	35338	AluID:80098	chr4:69204537:69204538	-	18	-11.17	5	4	5
scaffold_12840	19228	19229	AluID:240854	1	+	20	3.01	21	21	6
scaffold_1289	250555	250556	AluID:285356	chr17:74419795:74419796	-	22	0.49	7	7	6
scaffold_12896	142	143	AluID:323755	chr22:16262424:16262425	+	19	3.01	19	19	6
scaffold_1290	105049	105050	AluID:237111	chr14:75285996:75285997	+	21	-19.98	5	4	5
scaffold_12965	2847	2848	AluID:302334	1	-	20	-11.60	9	9	6
scaffold_1298	199835	199836	AluID:200741	chr11:83528919:83528920	-	22	-5.53	19	19	6
scaffold_130	184059	184060	AluID:126241	chr7:70763028:70763029	+	18	-3.92	NA	4	NA
scaffold_13044	14442	14443	AluID:18376	chr1:150296247:150296248	+	22	-2.14	15	15	6
scaffold_1305	158880	158881	AluID:128255	1	+	20	-5.74	30	30	13
scaffold_1305	84685	84686	AluID:327382	chr22:32177429:32177430	+	18	0.49	10	10	5
