chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
AJFE01000145	1423	1424	Aluexon:1297	chr16:2622393:2622394:-	+	58	-21.30	9	9	9
AJFE01000145	1874	1875	Aluexon:1295	chr16:2621919:2621920:-	+	50	-12.10	9	9	4
AJFE01000145	1976	1977	Aluexon:1296	chr16:2621817:2621818:-	+	152	-10.74	9	9	4
AJFE01000145	4300	4301	Aluexon:1294	chr16:2619475:2619476:-	+	44	5.02	6	4	6
AJFE01000145	5781	5782	Aluexon:4935	chr16:2682198:2682199:+	+	176	7.01	6	6	6
AJFE01000145	9135	9136	Aluexon:6237	chr16:2685549:2685550:+	+	228	-21.19	9	9	5
AJFE01003057	6291	6292	Aluexon:412	chr10:51125639:51125640:-	-	253	-12.68	12	12	6
AJFE01003121	507	508	Aluexon:4934	chr16:2606158:2606159:+	+	87	-15.35	13	13	9
AJFE01003207	218	219	Aluexon:3674	chr7:102128611:102128612:-	+	32	11.06	16	16	10
AJFE01003318	382	383	Aluexon:3307	chr6:57299767:57299768:+	-	199	9.90	9	7	9
AJFE01003598	163	164	Aluexon:6569	chr17:20615757:20615758:+	-	119	-15.13	NA	NA	NA
AJFE01003713	453	454	Aluexon:5769	chr14:106638014:106638015:-	+	54	-24.04	6	6	6
AJFE01003713	492	493	Aluexon:5768	chr14:106637975:106637976:-	+	93	-10.00	6	6	6
AJFE01005430	1080	1081	Aluexon:6414	chr16:1277790:1277791:-	-	175	2.24	5	3	5
AJFE01005833	1068	1069	Aluexon:3676	chr7:102184497:102184498:-	+	106	-6.03	12	12	3
AJFE01006411	1421	1422	Aluexon:4892	chr15:20447029:20447030:-	-	239	-10.04	6	6	5
AJFE01007108	71	72	Aluexon:5056	chr18:11626010:11626011:-	-	273	0.50	5	2	5
AJFE01008035	847	848	Aluexon:928	chr12:133439011:133439012:-	-	171	9.29	10	2	10
AJFE01008173	3833	3834	Aluexon:4942	chr16:16134972:16134973:+	+	188	7.75	11	6	11
AJFE01008209	1361	1362	Aluexon:3880	chrX:366140:366141:+	+	29	8.84	5	5	5
AJFE01009659	507	508	Aluexon:5119	chr19:55887277:55887278:+	-	56	4.50	12	12	5
AJFE01010816	3001	3002	Aluexon:5648	chrX:52928083:52928084:+	-	29	7.68	6	5	6
AJFE01010832	4621	4622	Aluexon:4371	chr2:55914076:55914077:-	-	289	-12.31	NA	NA	6
AJFE01012549	32717	32718	Aluexon:6425	chr18:11656677:11656678:-	+	147	-4.29	6	6	4
JH649434	21513	21514	Aluexon:6443	chr21:10470287:10470288:-	-	182	5.76	10	10	6
JH649440	361	362	Aluexon:1426	chr16:67001688:67001689:+	+	34	2.33	11	6	11
JH649440	8444	8445	Aluexon:1425	chr16:67009366:67009367:+	+	21	10.39	6	5	6
JH649455	83137	83138	Aluexon:3794	chr9:90587069:90587070:-	+	65	-29.49	10	10	6
JH649471	8286	8287	Aluexon:5754	chr14:106400295:106400296:-	+	15	-9.50	NA	9	NA
JH649471	8420	8421	Aluexon:5753	chr14:106400161:106400162:-	+	149	-6.18	NA	9	NA
JH649493	125619	125620	Aluexon:2401	chr2:131119727:131119728:+	+	160	8.72	10	10	6
JH649551	1185	1186	Aluexon:5073	chr19:863423:863424:-	-	200	6.27	7	7	7
JH649606	990155	990156	Aluexon:5737	chr13:45986073:45986074:-	+	24	9.15	15	15	3
