chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
ABRT02103689v1	16798	16799	Aluexon:3429	chr7:30428626:30428627:+	-	18	-1.59	6	6	6
ABRT02113218v1	1269	1270	Aluexon:486	chr10:105160527:105160528:+	+	33	-12.58	6	4	6
ABRT02113642v1	440	441	Aluexon:3218	chr5:174904177:174904178:+	+	123	-31.62	NA	7	NA
ABRT02127848v1	23693	23694	Aluexon:5453	chr2:131877806:131877807:+	-	276	-10.13	8	8	5
ABRT02144904v1	112	113	Aluexon:5399	chr19:1076631:1076632:+	-	149	-29.94	NA	NA	NA
ABRT02163546v1	648	649	Aluexon:1847	chr19:902434:902435:-	-	217	-25.85	6	2	6
ABRT02163546v1	783	784	Aluexon:1848	chr19:902627:902628:-	-	24	-5.07	6	6	5
ABRT02176701v1	48	49	Aluexon:6822	chr7:101267301:101267302:-	-	11	-4.96	NA	NA	NA
ABRT02203876v1	514	515	Aluexon:1870	chr19:4290287:4290288:+	-	117	-1.20	5	5	3
ABRT02237900v1	696	697	Aluexon:5895	chr2:89537844:89537845:-	+	76	-21.02	12	12	5
ABRT02271855v1	6901	6902	Aluexon:5056	chr18:11626010:11626011:-	-	273	-14.12	12	12	6
ABRT02294992v1	834	835	Aluexon:1625	chr17:36455938:36455939:+	+	232	-2.38	7	7	4
ABRT02331460v1	8660	8661	Aluexon:4739	chr10:964490:964491:-	+	105	-4.38	13	13	6
ABRT02352701v1	1914	1915	Aluexon:6371	chr1:158169625:158169626:-	+	30	-2.38	12	12	9
ABRT02405007v1	527	528	Aluexon:4228	chrX:131873482:131873483:-	-	275	-3.50	7	7	4
KE923777v1	9939	9940	Aluexon:6031	chrX:153740735:153740736:-	+	44	-6.87	9	9	5
KE924410v1	51092	51093	Aluexon:4752	chr10:71888718:71888719:-	+	25	-4.96	15	15	6
KE925103v1	373567	373568	Aluexon:3191	chr5:145538655:145538656:-	+	16	-0.71	9	9	4
KE925131v1	14100	14101	Aluexon:1609	chr17:29163603:29163604:+	+	3	-1.42	7	7	7
KE925261v1	51127	51128	Aluexon:5245	chr1:101547095:101547096:+	-	15	0.76	6	5	6
KE925449v1	227425	227426	Aluexon:2124	chr19:45454283:45454284:-	+	34	2.87	7	7	4
KE925449v1	78831	78832	Aluexon:2131	chr19:45611943:45611944:+	-	57	1.42	4	4	4
KE925541v1	38416	38417	Aluexon:4026	chr11:82637153:82637154:+	+	23	-6.55	5	5	5
KE925613v1	80039	80040	Aluexon:4164	chr5:132433421:132433422:+	-	194	-4.79	7	5	7
KE925651v1	54896	54897	Aluexon:6591	chr2:191280016:191280017:+	+	23	-1.88	13	13	6
KE925827v1	218572	218573	Aluexon:6671	chr1:37922060:37922061:-	-	185	6.38	7	7	5
KE925904v1	137839	137840	Aluexon:4186	chr7:128278826:128278827:+	+	12	-9.85	6	6	6
KE925904v1	137884	137885	Aluexon:1490	chr16:90222435:90222436:+	+	73	-29.45	6	6	6
KE925904v1	137996	137997	Aluexon:4475	chr4:119539319:119539320:+	+	182	5.72	6	6	6
KE926087v1	95495	95496	Aluexon:3032	chr4:87853471:87853472:-	+	45	-12.64	9	8	9
KE926139v1	135160	135161	Aluexon:5673	chr1:157516070:157516071:-	-	169	6.59	15	15	5
KE926211v1	629500	629501	Aluexon:1238	chr15:77577420:77577421:-	-	18	-0.44	15	15	12
KE926258v1	328607	328608	Aluexon:3829	chr9:123842582:123842583:+	-	7	8.49	5	5	4
KE926258v1	970470	970471	Aluexon:4720	chr9:123280164:123280165:-	+	24	-6.23	14	14	7
KE926535v1	10322	10323	Aluexon:6769	chr22:22978151:22978152:-	+	188	-0.93	7	6	7
KE926696v1	29957	29958	Aluexon:2026	chr19:19056888:19056889:+	+	196	7.18	13	13	4
KE926748v1	250169	250170	Aluexon:2976	chr4:2501062:2501063:+	+	57	-6.98	7	7	5
KE926756v1	53118	53119	Aluexon:3629	chr8:30632446:30632447:-	-	31	-4.95	7	7	7
KE926807v1	101142	101143	Aluexon:1953	chr19:12661466:12661467:-	-	31	-6.76	7	7	4
KE926820v1	112973	112974	Aluexon:6437	chr2:78252550:78252551:-	+	44	1.58	16	16	6
KE926833v1	38406	38407	Aluexon:1149	chr15:41564376:41564377:+	+	10	9.70	8	7	8
KE926877v1	302631	302632	Aluexon:6337	chr6_ssto_hap7:4702695:4702696:+	-	28	-5.68	14	6	14
KE926879v1	14873	14874	Aluexon:2935	chr3:179047720:179047721:+	+	26	-3.67	13	13	5
KE926952v1	69936	69937	Aluexon:3315	chr6:74181181:74181182:+	-	43	3.57	11	11	7
KE927070v1	11837	11838	Aluexon:824	chr12:58144298:58144299:-	-	62	-28.91	19	19	6
KE927075v1	150409	150410	Aluexon:1368	chr16:19663675:19663676:+	+	171	-0.68	7	7	6
KE927091v1	64480	64481	Aluexon:4625	chr7:102946848:102946849:+	-	22	-9.67	12	8	12
KE927269v1	40107	40108	Aluexon:2066	chr19:37690399:37690400:-	-	31	1.16	15	5	15
KE927288v1	81197	81198	Aluexon:4212	chrX:19364626:19364627:+	+	178	6.59	20	20	5
KE927375v1	159633	159634	Aluexon:737	chr12:19523654:19523655:+	+	32	7.27	15	5	15
KE927400v1	16937	16938	Aluexon:1842	chr19:328720:328721:-	-	48	-12.79	6	6	5
KE927476v1	27008	27009	Aluexon:1882	chr19:4324661:4324662:-	+	181	1.17	9	5	9
KE927554v1	32471	32472	Aluexon:6438	chr2:110342057:110342058:-	+	16	-12.13	7	7	6
KE927654v1	19188	19189	Aluexon:5119	chr19:55887277:55887278:+	+	56	5.16	NA	6	NA
KE927693v1	55309	55310	Aluexon:5836	chr17:36932878:36932879:-	+	31	-6.13	14	14	5
KE927759v1	307566	307567	Aluexon:4964	chr16:67155506:67155507:+	-	30	-4.96	16	16	6
KE927816v1	29269	29270	Aluexon:5182	chr22:29868438:29868439:-	-	162	-3.33	7	7	6
KE927864v1	72111	72112	Aluexon:998	chr14:29282177:29282178:+	-	30	7.61	15	5	15
KE927874v1	311722	311723	Aluexon:5962	chr5:150668617:150668618:-	+	22	-7.41	6	6	5
KE928016v1	50146	50147	Aluexon:5428	chr19:48182217:48182218:+	+	70	-18.97	8	8	7
KE928025v1	11069	11070	Aluexon:6340	chr7:75935607:75935608:+	-	20	-24.08	19	19	5
KE928137v1	332446	332447	Aluexon:3962	chrX:114848463:114848464:+	+	185	-4.14	5	5	4
KE928140v1	27953	27954	Aluexon:3222	chr5:175872979:175872980:-	-	197	-5.40	5	3	5
KE928156v1	284847	284848	Aluexon:2311	chr2:43741197:43741198:-	-	30	3.50	12	12	7
KE928197v1	80349	80350	Aluexon:4480	chr4:128860756:128860757:-	+	30	-0.96	11	11	7
KE928207v1	9766	9767	Aluexon:1846	chr19:1037547:1037548:+	-	109	-2.70	6	6	4
KE928337v1	369848	369849	Aluexon:4881	chr14:68059153:68059154:-	-	15	-3.42	8	8	6
KE928464v1	198253	198254	Aluexon:3904	chrX:24965571:24965572:+	-	199	6.47	10	10	7
KE928472v1	87956	87957	Aluexon:2657	chr22:20873163:20873164:+	-	23	3.00	31	31	5
KE928490v1	14930	14931	Aluexon:1110	chr14:96954293:96954294:+	-	58	2.98	11	5	11
KE928522v1	3465	3466	Aluexon:714	chr12:6556253:6556254:-	+	28	-4.96	NA	19	NA
KE928524v1	9274	9275	Aluexon:5427	chr19:47843742:47843743:+	+	139	-11.48	9	3	9
KE928543v1	10530	10531	Aluexon:5463	chr2:219250133:219250134:+	-	31	4.78	9	9	3
KE928552v1	12509	12510	Aluexon:4551	chr6:43587021:43587022:-	-	109	-23.19	9	9	4
KE928710v1	3318	3319	Aluexon:829	chr12:95273037:95273038:-	-	182	6.37	12	7	12
KE928747v1	38841	38842	Aluexon:1921	chr19:10329545:10329546:-	-	21	0.77	6	4	6
KE928747v1	68009	68010	Aluexon:5089	chr19:10361735:10361736:-	-	30	3.00	16	16	5
KE928773v1	370136	370137	Aluexon:6448	chr3:15456421:15456422:-	+	19	-21.94	8	8	5
KE928790v1	34933	34934	Aluexon:4460	chr4:57213203:57213204:-	-	17	-3.12	6	4	6
KE928804v1	5125	5126	Aluexon:919	chr12:125370141:125370142:-	+	239	-19.03	9	2	9
KE928951v1	137825	137826	Aluexon:5126	chr19:13057848:13057849:-	+	15	6.97	6	6	5
KE928951v1	216594	216595	Aluexon:5128	chr19:12982722:12982723:-	+	30	-14.99	7	7	5
KE928968v1	7703	7704	Aluexon:1933	chr19:11326811:11326812:+	+	45	2.96	10	10	4
KE928981v1	71247	71248	Aluexon:5118	chr19:56040735:56040736:-	+	40	3.13	11	9	11
