chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
scaffold_100061.1-10707	7044	7045	Aluexon:2873	chr3:128616208:128616209:+	+	177	-26.71	5	4	5
scaffold_100188.1-12717	101	102	Aluexon:1953	chr19:12661466:12661467:-	-	31	8.29	NA	NA	NA
scaffold_100210.1-47004	12109	12110	Aluexon:2195	chr19:52877735:52877736:+	-	19	3.02	3	3	3
scaffold_10156.1-342202	254594	254595	Aluexon:2982	chr4:7000500:7000501:+	+	242	-12.22	8	5	8
scaffold_102009.1-16840	5359	5360	Aluexon:3441	chr7:43799614:43799615:+	+	27	-8.22	15	13	15
scaffold_102442.1-245678	94213	94214	Aluexon:4780	chr11:12994881:12994882:-	-	26	10.31	6	6	5
scaffold_104409.1-3952	2753	2754	Aluexon:3475	chr7:72967999:72968000:-	-	22	-11.32	7	7	5
scaffold_10482.1-223601	205389	205390	Aluexon:1163	chr15:44809667:44809668:-	-	37	-21.62	6	3	6
scaffold_10482.1-223601	30712	30713	Aluexon:4908	chr15:44611603:44611604:+	+	187	-7.85	5	3	5
scaffold_105353.1-12519	10029	10030	Aluexon:1436	chr16:58658698:58658699:-	+	28	-19.30	6	3	6
scaffold_10796.1-87972	49345	49346	Aluexon:2182	chr19:52520950:52520951:-	+	19	-2.50	NA	NA	NA
scaffold_108713.1-322019	212922	212923	Aluexon:6436	chr2:73996079:73996080:-	+	25	-4.06	9	9	7
scaffold_109000.1-672258	460758	460759	Aluexon:5938	chr4:14616040:14616041:-	+	204	-17.26	5	5	5
scaffold_109021.1-648547	325188	325189	Aluexon:150	chr1:67995317:67995318:+	-	32	-23.37	6	2	6
scaffold_10936.1-11608	4878	4879	Aluexon:5165	chr21:37788076:37788077:+	+	33	-10.75	4	2	4
scaffold_110704.1-363392	314523	314524	Aluexon:6303	chr4:178544811:178544812:+	-	25	0.45	9	4	9
scaffold_110880.1-189577	16803	16804	Aluexon:3172	chr5:133724666:133724667:+	-	32	0.35	4	4	4
