chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
Contig101462	200	201	AluID:36890	chr2:61735313:61735314	+	21	-7.10	7	3	7
Contig104478	414	415	AluID:151177	chr9:4817479:4817480	-	19	-7.39	13	13	6
Contig104674	144	145	AluID:163238	chr9:139845726:139845727	-	19	8.66	NA	NA	NA
Contig105867	599	600	AluID:112099	chr6:89428113:89428114	+	21	-7.38	NA	8	NA
Contig113389	97	98	AluID:243999	chr15:43325846:43325847	-	18	1.24	NA	NA	NA
Contig115109	63	64	AluID:16978	chr1:110103293:110103294	+	18	-10.55	5	2	5
Contig120666	92	93	AluID:159343	chr9:116721898:116721899	-	18	0.72	NA	NA	NA
Contig122310	122	123	AluID:202024	-1	-	20	2.30	NA	NA	NA
Contig128535	1297	1298	AluID:150475	chr8:145631555:145631556	-	19	2.33	6	6	4
Contig132978	249	250	AluID:82228	-1	+	20	-2.50	NA	NA	NA
Contig133162	215	216	AluID:36781	chr2:61626474:61626475	-	19	-1.15	NA	NA	NA
Contig134684	55	56	AluID:201278	chr11:89951059:89951060	-	19	2.62	NA	NA	NA
Contig136562	407	408	AluID:215517	chr12:94847867:94847868	+	19	9.72	NA	8	NA
Contig139627	187	188	AluID:307115	chr19:45838427:45838428	+	22	1.36	NA	8	NA
Contig139686	656	657	AluID:146949	1	-	20	-3.62	6	6	6
Contig154235	378	379	AluID:54002	chr3:2815466:2815467	+	18	0.47	NA	6	NA
Contig159273	502	503	AluID:302252	chr19:21907858:21907859	+	22	-9.68	NA	6	NA
Contig164190	20	21	AluID:210991	chr12:50506771:50506772	-	21	-14.25	NA	NA	NA
Contig164621	300	301	AluID:50939	chr2:219115941:219115942	-	22	-6.44	6	6	5
Contig16607	319	320	AluID:137360	chr7:156964735:156964736	-	19	-5.38	13	13	8
Contig177286	506	507	AluID:125248	1	+	20	-1.90	NA	5	NA
Contig178968	353	354	AluID:281590	chr17:58038956:58038957	+	22	10.28	NA	15	NA
Contig179070	186	187	AluID:260040	chr16:27663055:27663056	-	22	-0.68	NA	NA	NA
Contig180894	29	30	AluID:279604	chr17:46368484:46368485	-	22	1.33	NA	NA	NA
Contig18416	241	242	AluID:198182	-1	-	20	-6.10	NA	NA	NA
Contig185273	116	117	AluID:12627	-1	-	20	-13.98	NA	NA	NA
Contig18818	378	379	AluID:264878	chr16:70388066:70388067	+	21	0.88	16	7	16
Contig18948	991	992	AluID:308410	chr19:48609018:48609019	-	19	-11.85	4	2	4
Contig190229	1099	1100	AluID:247470	chr15:63431973:63431974	-	18	-22.62	8	8	7
Contig19183	176	177	AluID:207311	chr12:12298569:12298570	-	22	-9.38	NA	NA	NA
Contig19340	406	407	AluID:36696	chr2:61498398:61498399	+	19	-3.51	NA	3	NA
Contig196810	60	61	AluID:130241	chr7:98704363:98704364	+	18	-5.25	4	4	4
Contig197702	493	494	AluID:36732	-1	+	20	2.43	NA	5	NA
Contig19788	329	330	AluID:40735	chr2:102328978:102328979	+	21	1.22	8	8	5
Contig207468	344	345	AluID:301731	chr19:19697223:19697224	+	19	-1.72	NA	4	NA
Contig209890	251	252	AluID:329011	chr22:40591482:40591483	-	22	4.82	NA	NA	NA
Contig211886	141	142	AluID:182241	chr10:70592532:70592533	-	21	0.80	NA	NA	NA
Contig212538	241	242	AluID:67218	chr3:126127652:126127653	-	18	-8.49	NA	NA	NA
Contig21472	714	715	AluID:256923	chr16:14694795:14694796	+	18	4.90	12	12	6
Contig21924	835	836	AluID:193324	chr11:18447640:18447641	-	22	-1.68	4	3	4
Contig223881	19	20	AluID:12655	chr1:58161567:58161568	-	18	3.08	NA	NA	NA
Contig22911	188	189	AluID:10052	chr1:45519434:45519435	+	21	-5.48	20	20	6
Contig23139	525	526	AluID:188079	-1	+	20	-7.67	NA	7	NA
Contig241440	6837	6838	AluID:169201	chrX:68956638:68956639	-	21	-7.23	6	6	6
Contig24702	117	118	AluID:210130	1	-	20	-4.90	NA	NA	NA
Contig25048	327	328	AluID:272219	chr17:15995771:15995772	+	18		NA	NA	NA
Contig25128	673	674	AluID:280128	chr17:48593227:48593228	+	18	-23.79	6	6	5
Contig26054	154	155	AluID:282528	chr17:60645970:60645971	+	19	1.58	5	4	5
Contig263338	320	321	AluID:203796	chr11:118873072:118873073	-	22	-10.08	6	6	5
Contig272272	10665	10666	AluID:74739	chr3:197678249:197678250	-	19	0.07	6	6	5
Contig272272	7079	7080	AluID:74747	chr3:197682152:197682153	-	19	-5.71	9	9	6
Contig275940	402	403	AluID:294347	-1	-	20	-21.84	16	3	16
Contig284478	809	810	AluID:216008	chr12:96933895:96933896	-	22	-1.96	8	8	5
Contig288431	267	268	AluID:115529	chr6:135625893:135625894	-	19	-21.43	NA	NA	NA
Contig28892	277	278	AluID:101435	chr5:159359172:159359173	+	19	3.02	7	7	3
Contig289031	127	128	AluID:309900	chr19:52844575:52844576	-	18	-7.95	NA	NA	NA
Contig29059	312	313	AluID:268246	1	+	20	-14.44	8	3	8
Contig291609	656	657	AluID:329107	chr22:40836157:40836158	-	22		NA	NA	5
Contig293038	877	878	AluID:81569	chr4:84412950:84412951	+	19	-0.37	7	5	7
Contig293314	322	323	AluID:147167	1	-	20	-12.43	15	6	15
Contig296322	7017	7018	AluID:111401	chr6:76406214:76406215	-	19	6.38	9	9	6
Contig297891	2103	2104	AluID:328737	chr22:39417131:39417132	+	19	-6.49	8	8	5
Contig300562	585	586	AluID:224057	chr13:22172851:22172852	+	18	2.81	9	9	5
Contig300707	527	528	AluID:18264	chr1:149826788:149826789	+	22	-17.73	6	3	6
Contig30081	448	449	AluID:40386	chr2:100079965:100079966	+	22	-17.57	NA	6	NA
Contig300968	27317	27318	AluID:140564	-1	+	20	3.05	20	4	20
Contig311471	230	231	AluID:135419	chr7:139703030:139703031	+	19	-9.92	8	8	5
Contig311617	560	561	AluID:180708	-1	+	20	8.38	6	6	5
Contig312420	757	758	AluID:201684	chr11:99953044:99953045	-	21	-19.71	5	5	5
Contig315078	969	970	AluID:169818	chrX:73660918:73660919	-	18		NA	NA	5
Contig316362	2251	2252	AluID:291175	chr18:44558044:44558045	-	21	-31.70	6	6	5
Contig31670	42	43	AluID:34672	chr2:42945424:42945425	-	22	-2.83	NA	NA	NA
Contig321341	295	296	AluID:285988	chr17:77168263:77168264	-	19	-8.79	22	22	5
Contig32388	339	340	AluID:285356	chr17:74419795:74419796	+	22	-9.83	6	3	6
Contig325303	1745	1746	AluID:325813	chr22:26931743:26931744	+	21	-0.09	NA	7	NA
Contig32750	260	261	AluID:246911	1	-	20	-10.21	NA	NA	NA
Contig338018	793	794	AluID:69245	-1	+	20	-8.01	NA	21	NA
Contig342282	1560	1561	AluID:60804	chr3:50721324:50721325	-	18	-3.23	6	2	6
Contig343972	1976	1977	AluID:120720	chr7:5990829:5990830	-	21	2.35	16	16	7
