chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
AJFE01000458	611	612	AluID:324671	chr22:21086634:21086635	-	19	-5.28	7	2	7
AJFE01002570	841	842	AluID:278366	chr17:42134494:42134495	+	18	2.71	7	2	7
AJFE01002623	604	605	AluID:298483	-1	-	20	-0.41	12	12	7
AJFE01002883	12	13	AluID:198817	-1	+	20		NA	NA	NA
AJFE01003057	6520	6521	AluID:180350	chr10:51347650:51347651	-	22	-5.27	12	12	6
AJFE01004133	1147	1148	AluID:128354	chr7:76591892:76591893	-	19	-9.17	7	7	4
AJFE01004230	1268	1269	AluID:314363	chr20:23968684:23968685	+	22	-8.36	6	5	6
AJFE01006058	748	749	AluID:276394	-1	+	20	1.95	9	9	7
AJFE01006184	3033	3034	AluID:125875	chr7:66677871:66677872	-	22	1.14	6	6	6
AJFE01006519	315	316	AluID:260357	chr16:28660866:28660867	+	18	-5.51	17	17	5
AJFE01006519	316	317	AluID:258725	chr16:21425050:21425051	+	21	-5.13	17	17	5
AJFE01006519	323	324	AluID:257797	chr16:16478872:16478873	+	21	1.42	17	17	5
AJFE01007145	2423	2424	AluID:282996	chr17:62644877:62644878	+	22	-5.70	6	6	6
AJFE01007214	1358	1359	AluID:125874	chr7:66674573:66674574	+	18	-1.73	NA	6	NA
AJFE01007720	1024	1025	AluID:260354	chr16:28656380:28656381	+	19	-8.80	NA	NA	NA
AJFE01007720	1027	1028	AluID:260402	chr16:28770495:28770496	+	21		NA	NA	NA
AJFE01009131	1055	1056	AluID:200238	chr11:77596868:77596869	+	18	-4.97	8	8	5
AJFE01010405	2772	2773	AluID:208798	1	+	20	-4.85	6	6	6
AJFE01010832	132	133	AluID:36441	chr2:55909586:55909587	-	18	-7.24	NA	NA	NA
AJFE01010833	3048	3049	AluID:22778	1	-	20	-4.41	8	8	7
AJFE01120881	448	449	AluID:257177	chr16:15206108:15206109	+	18	-21.78	6	6	5
AJFE01121231	53	54	AluID:263576	chr16:67933254:67933255	-	22	-19.56	NA	NA	NA
JH649425	708	709	AluID:258850	chr16:21878906:21878907	+	22	1.67	9	9	3
JH649494	1194	1195	AluID:260778	chr16:30259798:30259799	-	18	-1.99	8	8	5
JH649512	44611	44612	AluID:5359	chr1:25647530:25647531	+	18	1.90	8	6	8
JH649522	13574	13575	AluID:264712	chr16:70153827:70153828	+	19	2.54	7	7	5
JH649522	1864	1865	AluID:260553	-1	-	20	-5.14	6	6	5
JH649532	16454	16455	AluID:279368	chr17:45629348:45629349	+	18	-5.99	17	17	6
JH649532	26445	26446	AluID:276347	chr17:36381544:36381545	+	18	-9.73	12	12	5
JH649532	32028	32029	AluID:276342	chr17:36376413:36376414	+	22	-6.08	15	15	5
JH649606	190753	190754	AluID:226351	1	-	20	-8.32	7	7	5
JH649606	228641	228642	AluID:226344	chr13:46767710:46767711	+	19	0.32	6	5	6
JH649606	27167	27168	AluID:226372	chr13:46969627:46969628	+	19	-0.83	7	7	5
JH649606	590935	590936	AluID:226305	chr13:46403726:46403727	+	22	-10.98	8	4	8
JH649606	987506	987507	AluID:226262	chr13:45988733:45988734	+	21	-9.69	5	4	5
JH649618	320417	320418	AluID:89692	-1	-	20	-3.26	7	7	6
JH649629	70152	70153	AluID:137051	chr7:153603561:153603562	-	18	2.87	6	5	6
JH649641	3298	3299	AluID:125406	chr7:65436412:65436413	+	21	6.47	5	5	5
JH649645	19229	19230	AluID:180425	chr10:51848733:51848734	-	18	-5.32	22	22	5
JH649709	65618	65619	AluID:125856	chr7:66628675:66628676	+	18	1.54	15	15	5
JH649728	30655	30656	AluID:131276	1	-	20		NA	NA	5
JH649728	38584	38585	AluID:131271	chr7:102076106:102076107	-	19	0.73	11	11	5
JH649773	7871	7872	AluID:272931	chr17:18673639:18673640	-	21	-5.59	13	13	5
JH649776	63818	63819	AluID:125101	chr7:56089643:56089644	-	22	-0.86	9	9	5
JH649780	42667	42668	AluID:259035	-1	+	20	-10.92	8	8	5
JH649789	77109	77110	AluID:180091	chr10:47053455:47053456	+	19	5.47	9	9	4
JH649839	17364	17365	AluID:41824	chr2:114237722:114237723	-	19	-1.80	7	7	7
JH649846	50825	50826	AluID:184956	chr10:88815883:88815884	+	18	-20.92	15	15	7
JH649846	5628	5629	AluID:184981	chr10:88864438:88864439	-	19	-1.34	10	10	5
JH649859	104301	104302	AluID:164432	chrX:8544159:8544160	-	21	1.88	8	6	8
JH649859	138073	138074	AluID:164436	-1	-	20		NA	NA	6
JH649859	149316	149317	AluID:164441	chrX:8589363:8589364	-	19	-15.52	13	13	5
JH649859	177199	177200	AluID:164449	chrX:8618748:8618749	-	21	-12.79	16	16	5
JH649859	221097	221098	AluID:164460	-1	-	20	-4.65	5	4	5
JH649867	8430	8431	AluID:40793	chr2:102993777:102993778	+	21	-0.42	7	6	7
JH649896	239729	239730	AluID:41803	chr2:113946162:113946163	-	18	-1.56	NA	NA	NA
JH649896	264365	264366	AluID:41800	1	-	20	1.79	7	7	5
JH649896	599087	599088	AluID:41788	-1	+	20	-5.47	22	22	7
JH649896	623339	623340	AluID:41782	chr2:113494522:113494523	-	21	4.55	12	12	5
JH649896	799306	799307	AluID:41754	chr2:113316214:113316215	-	19	2.50	11	11	6
JH649896	840656	840657	AluID:41743	chr2:113275550:113275551	-	21	-26.23	12	9	12
JH649897	1242588	1242589	AluID:173630	chrX:150570243:150570244	-	19	7.25	8	8	8
JH649899	148721	148722	AluID:207031	chr12:9150399:9150400	+	22	7.40	12	12	4
JH649899	359080	359081	AluID:207043	chr12:9357685:9357686	-	18	0.87	11	11	6
JH649907	24302	24303	AluID:107454	chr6:34654659:34654660	-	19	-18.40	7	2	7
JH649911	123996	123997	AluID:211601	chr12:51475078:51475079	+	19	0.21	6	6	5
JH649911	133735	133736	AluID:211592	chr12:51465372:51465373	+	18	-5.64	10	7	10
JH649911	40421	40422	AluID:211667	chr12:51561848:51561849	+	18	-2.19	7	7	5
JH649913	187170	187171	AluID:331443	chr22:51131655:51131656	+	18	-5.16	13	13	6
JH649913	88420	88421	AluID:331423	chr22:51022782:51022783	-	19	-6.63	10	10	5
JH649913	95778	95779	AluID:331427	chr22:51030209:51030210	-	22	-5.07	6	5	6
JH649915	41619	41620	AluID:260492	chr16:28998277:28998278	+	22	-16.60	9	8	9
JH649918	139691	139692	AluID:191287	chr11:3787602:3787603	-	21	-0.02	7	7	5
JH649918	154235	154236	AluID:191308	-1	-	20	-8.05	18	18	5
JH649918	229197	229198	AluID:191348	chr11:3878502:3878503	+	19	1.94	8	7	8
JH649918	260950	260951	AluID:191370	chr11:3910618:3910619	+	19	1.16	12	12	9
JH649918	283809	283810	AluID:191380	chr11:3933621:3933622	+	19	-11.26	12	12	6
JH649918	287877	287878	AluID:191386	chr11:3937700:3937701	+	19	1.54	12	12	5
JH649918	295306	295307	AluID:191392	1	+	20	-8.05	12	6	12
JH649918	389340	389341	AluID:191428	chr11:4049339:4049340	+	18	-18.49	NA	4	NA
JH649918	399069	399070	AluID:191432	1	+	20	3.01	17	17	5
JH649918	473433	473434	AluID:191459	chr11:4133614:4133615	+	19	9.90	12	12	5
JH649918	485349	485350	AluID:191463	chr11:4145941:4145942	+	21	-13.97	10	7	10
JH649920	113247	113248	AluID:325228	1	-	20	-9.39	16	16	6
JH649922	163303	163304	AluID:41683	-1	-	20	0.42	8	8	8
JH649922	192855	192856	AluID:41056	chr2:109083957:109083958	-	19	0.94	9	9	5
JH649923	229457	229458	AluID:254317	chr16:3121694:3121695	+	21	-4.66	3	2	3
JH649923	45041	45042	AluID:254273	1	+	20	-1.61	9	9	7
JH649924	124369	124370	AluID:310341	chr19:53587097:53587098	+	21	3.02	6	2	6
JH649924	136630	136631	AluID:310329	-1	+	20	1.21	10	10	6
JH649924	32731	32732	AluID:310385	-1	+	20	0.21	14	14	5
JH649926	110770	110771	AluID:166548	chrX:29213694:29213695	-	19	4.99	10	10	5
JH649926	242235	242236	AluID:166519	chrX:29082676:29082677	-	18	1.85	6	6	6
JH649926	534652	534653	AluID:166482	chrX:28791228:28791229	-	21	-3.92	6	3	6
JH649927	175613	175614	AluID:41447	chr2:111513729:111513730	+	18	6.11	10	10	7
JH649927	277725	277726	AluID:41459	chr2:111615342:111615343	+	19	-6.04	6	2	6
JH649927	34172	34173	AluID:41438	chr2:111420848:111420849	+	18	-3.38	9	9	6
JH649927	494002	494003	AluID:41486	chr2:111832199:111832200	+	18	-11.16	9	9	8
JH649927	52017	52018	AluID:41433	chr2:111403011:111403012	+	19	3.35	16	16	8
JH649931	131276	131277	AluID:229880	chr14:21534229:21534230	-	19	3.89	6	2	6
JH649931	310719	310720	AluID:229910	chr14:21716145:21716146	-	18	-3.84	20	9	20
JH649931	357721	357722	AluID:229936	chr14:21760236:21760237	+	19	6.11	14	6	14
JH649931	401913	401914	AluID:229972	chr14:21805617:21805618	+	19	-0.76	14	14	5
JH649931	410258	410259	AluID:229979	1	+	20	2.49	11	11	5
JH649931	505163	505164	AluID:230021	chr14:21910324:21910325	-	22	-24.52	6	3	6
JH649932	188055	188056	AluID:150764	chr9:388573:388574	+	21	8.59	13	13	5
JH649932	433055	433056	AluID:150830	chr9:633687:633688	+	21	-11.45	5	4	5
JH649932	61231	61232	AluID:150734	chr9:257531:257532	+	19	-0.42	7	7	5
JH649938	229854	229855	AluID:131533	chr7:102667751:102667752	-	22	0.82	8	8	7
JH649942	19766	19767	AluID:117582	chr6:154560865:154560866	+	18	-0.57	11	11	5
JH649942	73445	73446	AluID:117608	-1	-	20	0.74	7	7	3
JH649943	376668	376669	AluID:132818	chr7:114573325:114573326	+	22	-5.04	16	16	5
JH649944	114743	114744	AluID:279127	chr17:44738951:44738952	+	19	-2.88	NA	6	NA
JH649944	297274	297275	AluID:279179	1	+	20	5.38	8	6	8
JH649946	106537	106538	AluID:173784	-1	+	20	2.65	7	6	7
JH649946	20602	20603	AluID:173831	chrX:153394049:153394050	+	21	-7.64	NA	NA	NA
JH649946	250365	250366	AluID:173750	chrX:153162842:153162843	+	22		NA	NA	5
JH649946	552324	552325	AluID:173706	chrX:152862417:152862418	+	19	-2.05	7	7	4
JH649946	907	908	AluID:173839	chrX:153413777:153413778	-	21	-4.19	12	5	12
JH649949	199062	199063	AluID:168388	chrX:51588887:51588888	-	22	2.73	5	4	5
JH649950	20547	20548	AluID:272235	chr17:16044133:16044134	+	19	-1.38	5	5	5
JH649950	49442	49443	AluID:272226	chr17:16014934:16014935	+	18	0.26	9	9	5
JH649950	57113	57114	AluID:272221	chr17:16007290:16007291	+	19	-3.73	7	7	5
JH649950	66852	66853	AluID:272219	chr17:15995771:15995772	+	18	4.00	5	2	5
JH649950	76082	76083	AluID:272217	chr17:15986547:15986548	+	22	2.86	9	9	5
JH649951	364223	364224	AluID:164346	chrX:6027307:6027308	-	21	9.07	7	7	6
JH649952	131499	131500	AluID:16978	chr1:110103293:110103294	-	18	-10.78	5	2	5
JH649952	267137	267138	AluID:16966	-1	+	20	-13.01	5	4	5
JH649952	272191	272192	AluID:16960	chr1:109962590:109962591	+	19	10.48	19	19	6
