chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
Contig104226	79	80	Aluexon:3683	chr8:93976093:93976094:-	-	43	5.41	NA	NA	NA
Contig104674	144	145	Aluexon:6354	chr9:139845725:139845726:+	-	19	8.66	NA	NA	NA
Contig117125	534	535	Aluexon:1715	chr17:60109763:60109764:-	-	96	-16.33	NA	NA	10
Contig128367	1892	1893	Aluexon:2344	chr2:69967357:69967358:+	-	17	11.75	9	9	6
Contig128598	1821	1822	Aluexon:1328	chr16:4552743:4552744:+	-	24	0.05	5	4	5
Contig129301	904	905	Aluexon:3236	chr5:180531270:180531271:+	+	36	4.09	6	6	2
Contig139458	18	19	Aluexon:1579	chr17:26687190:26687191:+	+	208		NA	NA	NA
Contig14618	1121	1122	Aluexon:6678	chr1:150738433:150738434:-	-	291	-17.42	10	10	6
Contig146722	80	81	Aluexon:2760	chr3:29657717:29657718:-	+	284	-2.01	NA	NA	NA
Contig147968	249	250	Aluexon:4563	chr6:42983854:42983855:+	+	176	4.75	NA	8	NA
Contig148011	87	88	Aluexon:1038	chr14:35575571:35575572:+	-	15	4.19	NA	NA	NA
Contig164190	33	34	Aluexon:4822	chr12:50506759:50506760:+	-	8	4.15	NA	NA	NA
Contig177286	595	596	Aluexon:3449	chr7:64129490:64129491:+	+	109	-20.72	NA	5	NA
Contig180956	3	4	Aluexon:977	chr13:95809576:95809577:-	+	162		NA	NA	NA
Contig18396	877	878	Aluexon:4020	chr11:27359782:27359783:-	-	18	0.86	17	4	17
Contig1936	4622	4623	Aluexon:5773	chr14:106669638:106669639:-	+	151	-25.29	6	6	5
Contig198490	74	75	Aluexon:3284	chr6:36419384:36419385:+	-	112	-25.72	NA	NA	NA
Contig198490	81	82	Aluexon:3283	chr6:36419377:36419378:+	-	105	-14.32	NA	NA	NA
Contig209505	213	214	Aluexon:4130	chr22:50670978:50670979:-	+	22	3.50	NA	6	NA
Contig209505	286	287	Aluexon:2752	chr22:50670907:50670908:-	+	93	-27.68	NA	6	NA
Contig211609	144	145	Aluexon:1872	chr19:4770165:4770166:+	-	248	0.95	NA	NA	NA
Contig213855	44	45	Aluexon:3567	chr7:140079650:140079651:-	-	59	-21.63	NA	NA	NA
Contig219669	115	116	Aluexon:3970	chrX:130911725:130911726:-	-	68	-19.32	NA	NA	NA
Contig24325	156	157	Aluexon:1694	chr17:49041755:49041756:-	-	209	-0.45	11	11	5
Contig24421	523	524	Aluexon:60	chr1:21069925:21069926:-	+	257	-4.49	NA	NA	6
Contig25222	158	159	Aluexon:1692	chr17:47809739:47809740:-	+	38	5.62	NA	4	NA
Contig267087	302	303	Aluexon:899	chr12:123113741:123113742:+	+	171	0.67	8	4	8
Contig26724	129	130	Aluexon:3221	chr5:174952793:174952794:+	-	180	6.93	7	7	6
Contig268782	1312	1313	Aluexon:6299	chr4:106682180:106682181:+	+	27	4.21	15	15	5
Contig26952	68	69	Aluexon:3626	chr8:30240878:30240879:-	+	23	-7.51	4	4	4
Contig275940	386	387	Aluexon:6746	chr19:3045797:3045798:-	-	36	5.76	16	3	16
Contig276821	594	595	Aluexon:3763	chr9:33956879:33956880:-	-	225	-7.59	10	4	10
Contig280577	1819	1820	Aluexon:481	chr10:120936911:120936912:-	-	269	-1.44	NA	NA	NA
Contig282858	393	394	Aluexon:6238	chr16:20932622:20932623:+	+	216	1.12	5	4	5
Contig284122	3146	3147	Aluexon:269	chr1:171760706:171760707:+	-	80	-16.09	8	8	5
Contig284478	788	789	Aluexon:5313	chr12:96933913:96933914:+	-	38	-34.22	8	8	5
Contig286287	1806	1807	Aluexon:6774	chr22:32545600:32545601:-	-	37	12.26	6	6	4
Contig287801	96	97	Aluexon:4303	chr1:150280034:150280035:+	+	21	4.18	12	12	2
Contig288543	331	332	Aluexon:4816	chr12:31695883:31695884:-	+	9	-0.10	NA	NA	NA
Contig297891	2100	2101	Aluexon:6607	chr22:39417116:39417117:+	+	5	-18.80	8	8	5
Contig29874	347	348	Aluexon:4373	chr2:61508560:61508561:-	-	187	-12.46	6	5	6
Contig302028	224	225	Aluexon:1673	chr17:43611869:43611870:+	-	193	3.00	NA	NA	NA
Contig302098	8	9	Aluexon:3057	chr4:120377946:120377947:+	+	133		NA	NA	NA
Contig30221	496	497	Aluexon:885	chr12:120284621:120284622:-	-	94	-25.19	9	9	5
Contig303243	1027	1028	Aluexon:46	chr1:17278406:17278407:+	+	31	3.14	NA	8	NA
Contig30978	576	577	Aluexon:3373	chr6:150118575:150118576:-	+	214	6.62	8	2	8
Contig313121	202	203	Aluexon:6237	chr16:2685549:2685550:+	+	228	-21.19	NA	NA	NA
Contig33809	164	165	Aluexon:5509	chr4:48858429:48858430:+	-	24	3.06	NA	NA	NA
Contig35327	6	7	Aluexon:6234	chr15:90308029:90308030:+	+	181		NA	NA	NA
Contig354706	4879	4880	Aluexon:6649	chr8:91399793:91399794:+	+	26	-4.21	20	20	6
Contig356723	658	659	Aluexon:1382	chr16:28491086:28491087:-	+	25	2.79	NA	19	NA
Contig356748	1029	1030	Aluexon:132	chr1:46018106:46018107:+	-	226	8.05	6	2	6
Contig361103	631	632	Aluexon:3256	chr6:18180288:18180289:+	-	206	8.36	NA	NA	NA
Contig36216	1213	1214	Aluexon:1294	chr16:2619475:2619476:-	-	44	5.40	6	5	6
Contig36598	90	91	Aluexon:4727	chr9:132570313:132570314:-	-	17	11.49	NA	NA	NA
Contig369569	4430	4431	Aluexon:2947	chr3:185324788:185324789:+	-	26	2.30	18	18	5
Contig37218	266	267	Aluexon:4524	chr5:138096307:138096308:+	-	247	1.57	6	6	5
Contig376435	7039	7040	Aluexon:4294	chr1:108738614:108738615:-	-	24	1.58	14	14	5
Contig377166	22366	22367	Aluexon:2734	chr22:51221546:51221547:+	+	16	5.86	NA	4	NA
Contig378009	279	280	Aluexon:1563	chr17:19822988:19822989:-	+	32	3.01	22	22	7
