chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
scaffold_100986.1-7994	7472	7473	AluID:128970	chr7:82419006:82419007	-	21	-15.04	7	7	4
scaffold_101368.1-18004	10793	10794	AluID:257805	chr16:16485303:16485304	-	22	-10.73	5	5	3
scaffold_10156.1-342202	254441	254442	AluID:76145	chr4:7000278:7000279	+	22	-9.24	8	8	4
scaffold_10238.1-8299	3189	3190	AluID:78399	chr4:40852951:40852952	+	22	-15.71	3	3	3
scaffold_103005.1-7336	6326	6327	AluID:243496	1	-	20	4.81	5	4	5
scaffold_10332.1-764993	155965	155966	AluID:77098	chr4:25760083:25760084	+	18	4.17	13	3	13
scaffold_104001.1-101838	16029	16030	AluID:182699	chr10:72435906:72435907	+	18	-16.99	6	5	6
scaffold_104595.1-4680	4596	4597	AluID:288770	-1	+	20	-8.03	NA	17	NA
scaffold_105648.1-10241	4196	4197	AluID:260337	chr16:28592015:28592016	-	22	-11.09	4	4	4
scaffold_105776.1-9781	8956	8957	AluID:137992	chr8:4488884:4488885	-	22	-19.26	5	2	5
scaffold_106056.1-32897	14555	14556	AluID:138133	-1	+	20	-8.37	4	3	4
scaffold_10687.1-9595	2549	2550	AluID:250833	chr15:77680527:77680528	+	19	-6.09	5	3	5
scaffold_10695.1-26414	13307	13308	AluID:304477	chr19:37722995:37722996	-	22	-19.39	17	5	17
scaffold_10868.1-7509	1348	1349	AluID:320764	chr21:27400499:27400500	-	19	-12.08	5	5	4
scaffold_10902.1-162320	61453	61454	AluID:321043	chr21:32551711:32551712	-	18	-12.10	5	5	3
scaffold_109094.1-420171	159522	159523	AluID:149724	-1	-	20	-20.39	5	3	5
scaffold_109756.1-232290	112526	112527	AluID:141862	chr8:38881275:38881276	-	21	-6.02	5	4	5
scaffold_109930.1-61389	49947	49948	AluID:200112	chr11:77335292:77335293	-	22	-0.74	6	6	6
scaffold_110037.1-218885	213035	213036	AluID:252456	chr15:90559687:90559688	+	18	-6.96	14	14	6
scaffold_110197.1-316478	3971	3972	AluID:84356	chr4:120145165:120145166	+	21	1.50	5	5	5
scaffold_111192.1-162933	87849	87850	AluID:165856	chrX:19867799:19867800	-	21	0.22	5	5	5
scaffold_111346.1-42769	3014	3015	AluID:16219	1	+	20	-19.35	5	5	4
scaffold_111733.1-157939	126611	126612	AluID:114361	1	+	20	1.14	5	5	5
scaffold_112071.1-380500	219497	219498	AluID:229844	chr14:20902695:20902696	-	19	-2.94	7	7	5
scaffold_112218.1-80879	16256	16257	AluID:271615	-1	-	20	0.00	NA	4	NA
scaffold_112306.1-539060	313655	313656	AluID:151663	-1	-	20	-5.64	13	13	8
scaffold_112422.1-78570	45050	45051	AluID:238823	1	+	20	-20.68	3	3	2
scaffold_11254.1-21756	8950	8951	AluID:84220	chr4:114672935:114672936	-	19	-5.39	6	3	6
scaffold_112622.1-115473	23116	23117	AluID:106585	chr6:28118597:28118598	+	19	-15.10	6	5	6
scaffold_112624.1-272073	136177	136178	AluID:176435	chr10:14869888:14869889	+	19	-18.11	7	3	7
scaffold_112624.1-272073	259102	259103	AluID:251856	chr15:85168769:85168770	+	21	-12.13	4	4	3
scaffold_112670.1-55749	40799	40800	AluID:179861	chr10:43886920:43886921	-	18	-8.01	17	17	5
scaffold_113103.1-827771	276629	276630	AluID:129766	1	+	20	-18.10	NA	5	NA
scaffold_113103.1-827771	703859	703860	AluID:129819	1	+	20	-10.70	6	6	5
scaffold_113672.1-103288	11073	11074	AluID:123867	chr7:40235324:40235325	+	22	-17.01	7	7	3
scaffold_113982.1-673396	311602	311603	AluID:98218	chr5:134045611:134045612	+	22	-7.89	5	3	5
scaffold_114016.1-277699	150170	150171	AluID:40560	chr2:101596928:101596929	-	22	-11.03	6	6	4
scaffold_114020.1-599082	79605	79606	AluID:155457	chr9:77638058:77638059	+	19	-19.96	7	3	7
scaffold_114101.1-158299	17501	17502	AluID:128712	chr7:78212821:78212822	-	22	-10.83	9	7	9
scaffold_114104.1-68651	4446	4447	AluID:66326	chr3:121191933:121191934	-	22	-6.74	5	5	5
scaffold_114992.1-133835	58204	58205	AluID:118968	-1	-	20	0.58	5	4	5
scaffold_115229.1-182362	169322	169323	AluID:115125	1	+	20	12.32	5	5	3
scaffold_11528.1-675751	505022	505023	AluID:89166	-1	+	20	-9.40	5	5	5
scaffold_115491.1-166909	142417	142418	AluID:154763	1	-	20	-3.45	12	9	12
scaffold_115513.1-268668	17664	17665	AluID:150884	chr9:868002:868003	+	19	-11.68	5	3	5
scaffold_11572.1-210038	85932	85933	AluID:88861	1	-	20	-32.35	5	5	5
scaffold_116039.1-59890	805	806	AluID:212634	chr12:56645523:56645524	-	22	0.22	6	2	6
scaffold_116266.1-176834	167431	167432	AluID:214531	-1	-	20	-9.33	5	5	4
scaffold_116322.1-75235	54990	54991	AluID:330692	chr22:45734132:45734133	-	22	9.30	NA	5	NA
scaffold_116325.1-68676	55904	55905	AluID:330666	chr22:45570077:45570078	-	22	-14.44	7	7	6
scaffold_116373.1-179950	23352	23353	AluID:329958	chr22:42632190:42632191	+	18	-1.50	5	5	3
scaffold_116399.1-524881	491053	491054	AluID:329011	chr22:40591482:40591483	-	22	-3.85	20	8	20
scaffold_116460.1-106231	36623	36624	AluID:328162	1	-	20	4.96	3	3	3
scaffold_116534.1-813462	650966	650967	AluID:327651	-1	+	20	-11.08	6	5	6
scaffold_116726.1-172785	171680	171681	AluID:40419	chr2:100197355:100197356	+	19	-4.99	4	3	4
scaffold_116729.1-138803	20035	20036	AluID:40381	chr2:100071199:100071200	+	22	-17.03	5	3	5
scaffold_116961.1-96363	78845	78846	AluID:36441	chr2:55909586:55909587	-	18	-17.11	5	5	4
scaffold_117033.1-310998	232206	232207	AluID:36518	chr2:61001523:61001524	+	21	-5.35	21	6	21
scaffold_117144.1-527672	360411	360412	AluID:37735	chr2:69729755:69729756	-	19	-8.65	6	4	6
scaffold_117221.1-53423	10766	10767	AluID:96575	chr5:115558401:115558402	-	19	-21.29	7	7	5
scaffold_117297.1-503660	441443	441444	AluID:96848	chr5:121691806:121691807	+	18	-10.27	11	11	5
scaffold_117452.1-53098	11567	11568	AluID:98311	1	+	20	-13.79	NA	5	NA
scaffold_117496.1-170636	106837	106838	AluID:98790	chr5:137763895:137763896	+	18	-1.79	13	9	13
scaffold_117505.1-160896	116866	116867	AluID:99084	chr5:138496507:138496508	-	18	-28.20	12	12	4
scaffold_117552.1-271445	143025	143026	AluID:151724	chr9:8803740:8803741	-	18	-9.40	3	3	3
