chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
scaffold_100528	333	334	Aluexon:2490	chr2:219784943:219784944:+	+	20	-1.75	16	7	16
scaffold_10066	25475	25476	Aluexon:2299	chr2:39006398:39006399:+	+	20	-8.07	6	6	6
scaffold_10100	28989	28990	Aluexon:339	chr1:229591248:229591249:-	-	87	-24.74	6	6	5
scaffold_10136	47912	47913	Aluexon:1647	chr17:40630943:40630944:+	+	15	-7.42	7	3	7
scaffold_10197	6872	6873	Aluexon:1681	chr17:46916737:46916738:+	+	28	-27.62	15	15	12
scaffold_10197	9123	9124	Aluexon:5019	chr17:46919541:46919542:+	+	36	1.34	27	27	6
scaffold_10200	25586	25587	Aluexon:2615	chr21:30398886:30398887:+	+	19	5.89	7	7	3
scaffold_10276	27867	27868	Aluexon:5082	chr19:6752202:6752203:+	+	8	-2.44	5	4	5
scaffold_102825	435	436	Aluexon:410	chr10:47220511:47220512:-	+	198	5.05	10	10	6
scaffold_1029	67989	67990	Aluexon:3829	chr9:123842582:123842583:+	+	7	9.09	7	7	4
scaffold_10314	21053	21054	Aluexon:1863	chr19:3205832:3205833:+	+	22	-22.78	16	5	16
scaffold_10407	18287	18288	Aluexon:1856	chr19:800125:800126:+	+	210	-7.85	4	3	4
scaffold_1044	48399	48400	Aluexon:2937	chr3:178577411:178577412:-	+	17	4.79	10	5	10
scaffold_1047	234624	234625	Aluexon:4643	chr8:12288211:12288212:-	-	11	3.01	5	3	5
scaffold_1047	247416	247417	Aluexon:4148	chr4:9146592:9146593:-	+	18	-5.81	NA	7	NA
scaffold_10541	23051	23052	Aluexon:6190	chr1:52079975:52079976:+	+	11	1.19	7	7	7
scaffold_1060	207818	207819	Aluexon:4513	chr5:81274499:81274500:+	+	28	2.60	17	17	6
scaffold_10602	90796	90797	Aluexon:1712	chr17:58542178:58542179:-	+	235	-19.51	8	8	4
scaffold_106097	851	852	Aluexon:2798	chr3:47279892:47279893:+	+	165	3.46	6	2	6
scaffold_10635	11299	11300	Aluexon:3072	chr4:151852820:151852821:-	-	101	-12.74	NA	10	NA
scaffold_10761	46399	46400	Aluexon:3328	chr6:83869012:83869013:+	+	9	2.79	24	24	6
scaffold_10761	46474	46475	Aluexon:4564	chr6:83869087:83869088:+	+	84	-15.32	24	24	6
scaffold_10763	46745	46746	Aluexon:4981	chr16:87792996:87792997:-	-	47	-8.82	6	5	6
scaffold_10801	183	184	Aluexon:6001	chr7:66025662:66025663:-	+	42	-11.61	6	6	6
