chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
ABRT02049107v1	340	341	AluID:310727	chr19:54818534:54818535	+	18	-18.96	NA	12	NA
ABRT02084800v1	357	358	AluID:275895	chr17:34886121:34886122	+	21	0.32	6	4	6
ABRT02097609v1	4138	4139	AluID:20324	chr1:156320732:156320733	-	18	-7.41	7	6	7
ABRT02103593v1	3853	3854	AluID:293332	chr19:421056:421057	+	21	-5.26	5	5	4
ABRT02113218v1	19190	19191	AluID:188182	chr10:105185452:105185453	+	22	3.92	10	10	5
ABRT02129968v1	2924	2925	AluID:300546	-1	+	8	0.08	8	8	6
ABRT02154610v1	8780	8781	AluID:194953	chr11:44314954:44314955	+	19	-22.78	7	7	4
ABRT02155313v1	16872	16873	AluID:43653	chr2:136426644:136426645	+	22	-30.76	5	5	5
ABRT02189386v1	82	83	AluID:228792	chr13:100290236:100290237	-	19	-2.97	NA	NA	NA
ABRT02226601v1	3116	3117	AluID:302236	chr19:21717199:21717200	-	22	-11.07	7	3	7
ABRT02321977v1	7638	7639	AluID:38436	chr2:74079824:74079825	-	22	-8.58	4	3	4
ABRT02334926v1	20483	20484	AluID:152604	chr9:19436103:19436104	-	19	3.27	16	16	4
ABRT02387052v1	3245	3246	AluID:291508	chr18:47711222:47711223	-	22	-9.95	6	1	6
KE922025v1	24193	24194	AluID:246701	chr15:58980558:58980559	+	19	-7.67	5	5	4
KE922117v1	345329	345330	AluID:95617	chr5:94928273:94928274	+	22	-1.82	NA	16	NA
KE922505v1	15378	15379	AluID:257801	chr16:16481919:16481920	-	18	-17.29	6	4	6
KE922765v1	3625	3626	AluID:174484	1	-	20	-10.61	9	9	3
KE924409v1	123571	123572	AluID:243476	chr15:41996436:41996437	+	22	-27.10	7	7	7
KE924409v1	31851	31852	AluID:243405	1	+	20	-17.68	8	6	8
KE924499v1	333713	333714	AluID:164750	chrX:11147113:11147114	-	22	-11.01	17	17	6
KE925088v1	61046	61047	AluID:157439	chr9:99169416:99169417	-	19	-14.27	7	7	5
KE925449v1	139862	139863	AluID:306905	chr19:45547165:45547166	-	18	-4.93	14	14	9
KE925449v1	236698	236699	AluID:306839	chr19:45446204:45446205	-	18	-23.50	6	6	6
KE925467v1	71534	71535	AluID:48192	chr2:197991701:197991702	+	18	-8.50	10	10	5
KE925493v1	57903	57904	AluID:182721	chr10:72613947:72613948	-	18	2.02	6	6	6
KE925627v1	77109	77110	AluID:233411	chr14:55786422:55786423	-	18	-9.88	16	16	9
KE925676v1	427975	427976	AluID:164880	chrX:13613861:13613862	-	21	-7.19	7	7	6
KE925762v1	31009	31010	AluID:168560	chrX:53983783:53983784	-	22	-1.39	5	5	4
KE925765v1	380621	380622	AluID:265537	chr16:73167320:73167321	-	21	4.30	9	3	9
KE925866v1	242362	242363	AluID:160867	chr9:128428879:128428880	-	21	-1.12	8	3	8
KE926059v1	425870	425871	AluID:147854	chr8:107388128:107388129	-	18	-6.99	5	5	4
KE926087v1	74377	74378	AluID:81958	chr4:87866485:87866486	-	19	-10.99	8	8	3
KE926150v1	43803	43804	AluID:15257	chr1:89319472:89319473	-	21	-15.42	6	6	6
KE926153v1	348774	348775	AluID:25656	chr1:213294320:213294321	+	18	2.26	15	15	6
KE926251v1	571921	571922	AluID:80918	chr4:78112329:78112330	+	19	-12.71	12	12	5
KE926252v1	40978	40979	AluID:292529	1	+	20	-37.16	9	9	6
KE926256v1	263687	263688	AluID:74528	chr3:196919048:196919049	+	19	-11.20	16	16	6
KE926258v1	358289	358290	AluID:159781	chr9:123794348:123794349	+	22	-11.62	5	5	3
KE926348v1	22766	22767	AluID:235407	chr14:68393290:68393291	+	19	-10.04	18	18	7
KE926366v1	12223	12224	AluID:106944	-1	-	20	-10.46	15	15	7
KE926493v1	183207	183208	AluID:305810	chr19:41184986:41184987	+	19	-9.50	15	12	15
KE926493v1	54628	54629	AluID:305965	1	+	20	-7.13	10	10	3
KE926535v1	19440	19441	AluID:325161	1	-	20	-11.56	6	6	5
