chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
scaffold_100043.1-578039	264236	264237	Aluexon:2893	chr3:138045920:138045921:-	-	97	-7.04	6	4	6
scaffold_100183.1-310961	291819	291820	Aluexon:6621	chr3:149377163:149377164:+	+	45	-2.77	16	16	5
scaffold_100251.1-160817	61661	61662	Aluexon:2923	chr3:155613277:155613278:+	+	192	-43.03	14	14	8
scaffold_100384.1-54637	9108	9109	Aluexon:5134	chr20:17521844:17521845:-	+	11	-10.27	9	9	6
scaffold_100478.1-229837	89974	89975	Aluexon:4589	chr7:4693595:4693596:+	-	19	-26.34	5	5	5
scaffold_100531.1-8340	1437	1438	Aluexon:2534	chr20:5092251:5092252:-	+	32	1.78	7	7	5
scaffold_100548.1-123533	75461	75462	Aluexon:2568	chr20:3871889:3871890:+	-	205	5.72	14	14	7
scaffold_100552.1-131264	32627	32628	Aluexon:6595	chr20:3790542:3790543:+	-	36	-4.58	17	17	3
scaffold_100597.1-15124	10839	10840	Aluexon:2526	chr20:421645:421646:-	+	99	-3.38	17	17	11
scaffold_100613.1-212013	151472	151473	Aluexon:2545	chr20:30824234:30824235:+	+	90	-10.86	4	3	4
scaffold_100661.1-176800	115402	115403	Aluexon:2553	chr20:33597444:33597445:-	-	30	1.18	8	7	8
scaffold_100662.1-222873	211914	211915	Aluexon:6442	chr20:33897016:33897017:-	-	235	-16.98	11	11	6
scaffold_100664.1-168140	84523	84524	Aluexon:2557	chr20:33963600:33963601:-	-	177	-9.11	12	12	6
scaffold_100791.1-175382	166421	166422	Aluexon:2601	chr20:42334628:42334629:+	+	316	-21.31	10	5	10
scaffold_100813.1-176419	11311	11312	Aluexon:5474	chr20:44002932:44002933:+	+	24	7.14	7	7	4
scaffold_100854.1-531859	48987	48988	Aluexon:2592	chr20:47795765:47795766:-	-	43	-19.02	19	19	5
scaffold_101031.1-67432	46797	46798	Aluexon:5479	chr22:17129415:17129416:+	+	21	1.95	15	15	5
scaffold_101105.1-68819	13483	13484	Aluexon:5805	chr15:20875424:20875425:-	-	32	-4.68	7	5	7
scaffold_101134.1-199645	35086	35087	Aluexon:6714	chr13:33383778:33383779:-	+	183	-15.61	4	2	4
scaffold_101201.1-43829	4454	4455	Aluexon:4303	chr1:150280034:150280035:+	-	21	-4.24	16	16	7
scaffold_101250.1-334881	229699	229700	Aluexon:4853	chr13:24460046:24460047:-	+	26	-0.21	10	10	7
scaffold_101291.1-161499	9453	9454	Aluexon:4852	chr13:21473074:21473075:-	+	167	-18.60	7	4	7
scaffold_101301.1-262189	99793	99794	Aluexon:935	chr13:20210729:20210730:+	-	106	-20.61	8	5	8
scaffold_101331.1-14858	3868	3869	Aluexon:3081	chr4:170501642:170501643:-	-	24	-0.06	6	5	6
scaffold_101389.1-333746	216623	216624	Aluexon:1032	chr14:55615402:55615403:-	+	15	-2.04	9	9	4
scaffold_101485.1-246810	57103	57104	Aluexon:6594	chr2:227010321:227010322:+	+	25	-7.75	5	5	5
scaffold_101694.1-38486	32202	32203	Aluexon:2525	chr2:242568337:242568338:-	-	25	2.05	13	13	3
scaffold_101700.1-267184	41082	41083	Aluexon:928	chr12:133439011:133439012:-	+	171	2.21	11	3	11
scaffold_101708.1-40564	11614	11615	Aluexon:930	chr12:132458557:132458558:+	-	24	-5.38	17	17	13
scaffold_101757.1-204142	172070	172071	Aluexon:914	chr12:124003041:124003042:-	+	20	2.22	15	15	6
scaffold_101757.1-204142	36308	36309	Aluexon:908	chr12:124172807:124172808:+	-	52	-8.32	NA	19	NA
scaffold_101783.1-101410	50388	50389	Aluexon:901	chr12:122998421:122998422:-	+	161	-9.94	10	2	10
scaffold_101809.1-40088	601	602	Aluexon:4846	chr12:121714270:121714271:-	+	23	-0.74	7	7	5
scaffold_101822.1-7092	688	689	Aluexon:878	chr12:110928903:110928904:+	+	32	-2.29	10	10	5
scaffold_101824.1-96029	37367	37368	Aluexon:862	chr12:111054080:111054081:+	+	25	-0.41	7	7	3
scaffold_101833.1-125070	105179	105180	Aluexon:861	chr12:111394128:111394129:-	-	33	-7.02	21	21	14
scaffold_101850.1-161220	112451	112452	Aluexon:868	chr12:112148075:112148076:+	+	193	-3.09	15	15	14
scaffold_101853.1-92642	14252	14253	Aluexon:870	chr12:112125860:112125861:+	+	189	-15.39	5	2	5
scaffold_101870.1-396457	336398	336399	Aluexon:875	chr12:113545400:113545401:-	-	52	-13.78	3	2	3
scaffold_101876.1-136271	85027	85028	Aluexon:5318	chr12:113864933:113864934:+	-	25	0.12	15	15	5
scaffold_10192.1-19230	18438	18439	Aluexon:3155	chr5:102471695:102471696:+	-	23	3.12	5	5	5
scaffold_102013.1-358079	265782	265783	Aluexon:5732	chr12:110004972:110004973:-	+	23	-4.90	4	3	4
scaffold_102120.1-26693	5485	5486	Aluexon:2677	chr22:30150852:30150853:-	-	21	3.51	12	12	6
scaffold_102122.1-91547	12460	12461	Aluexon:2682	chr22:30217744:30217745:-	-	241	-16.00	4	4	4
scaffold_102125.1-199700	189340	189341	Aluexon:5924	chr22:30867194:30867195:-	+	99	-4.45	6	6	6
scaffold_102166.1-15242	5378	5379	Aluexon:2698	chr22:31983312:31983313:+	+	29	-7.65	5	5	5
scaffold_102347.1-18987	13760	13761	Aluexon:784	chr12:54766815:54766816:-	+	32	8.14	5	4	5
scaffold_102353.1-530466	28099	28100	Aluexon:789	chr12:54582380:54582381:-	+	54	-11.63	11	11	7
scaffold_102368.1-4801	4487	4488	Aluexon:832	chr12:53853950:53853951:+	-	21	3.06	18	18	5
scaffold_102380.1-79105	6104	6105	Aluexon:5727	chr12:53572380:53572381:-	+	212	-39.46	18	18	6
scaffold_102401.1-142459	97961	97962	Aluexon:777	chr12:52219582:52219583:+	-	179	1.57	3	3	3
scaffold_102409.1-99130	44170	44171	Aluexon:5726	chr12:51718452:51718453:-	+	314	-13.08	6	3	6
scaffold_102432.1-21520	755	756	Aluexon:3942	chrX:100764575:100764576:+	-	18	-1.28	6	6	4
scaffold_102436.1-12869	3493	3494	Aluexon:5724	chr12:50538752:50538753:-	+	196	6.80	11	8	11
scaffold_102470.1-5634	1054	1055	Aluexon:761	chr12:49241133:49241134:-	+	184	-3.58	7	6	7
scaffold_102471.1-195686	29860	29861	Aluexon:762	chr12:49229623:49229624:-	+	69	-18.58	6	6	5
scaffold_102497.1-156828	42556	42557	Aluexon:757	chr12:47603241:47603242:-	+	35	-11.62	4	3	4
scaffold_102597.1-583946	278166	278167	Aluexon:4815	chr12:39759800:39759801:-	+	34	7.52	8	8	7
scaffold_102656.1-50487	49432	49433	Aluexon:4041	chr12:29491575:29491576:-	+	19	-17.98	7	4	7
scaffold_102732.1-429739	321858	321859	Aluexon:6702	chr12:24724591:24724592:-	+	27	4.09	5	3	5
scaffold_102782.1-12398	10654	10655	Aluexon:737	chr12:19523654:19523655:+	-	32	-29.24	NA	20	NA
scaffold_102876.1-44786	8228	8229	Aluexon:4811	chr12:13057863:13057864:+	-	45	-18.26	6	4	6
scaffold_102981.1-158072	149590	149591	Aluexon:713	chr12:6441159:6441160:-	+	35	2.89	11	11	5
scaffold_103109.1-48521	45001	45002	Aluexon:5174	chr22:18127121:18127122:+	+	24	3.42	15	15	8
scaffold_103113.1-180939	50338	50339	Aluexon:2649	chr22:18317315:18317316:-	-	11	-5.40	11	11	5
scaffold_103140.1-351385	104260	104261	Aluexon:415	chr10:51622174:51622175:-	+	32	3.55	7	7	6
scaffold_103210.1-60341	16153	16154	Aluexon:5190	chr22:41256680:41256681:+	+	20	2.40	8	6	8
scaffold_103270.1-4251	3312	3313	Aluexon:461	chr10:99018511:99018512:-	-	25	2.07	NA	9	NA
scaffold_103287.1-126379	39411	39412	Aluexon:468	chr10:99525962:99525963:+	+	86	-5.69	14	14	3
scaffold_103326.1-31958	4773	4774	Aluexon:466	chr10:101950054:101950055:+	+	277	-11.75	NA	NA	NA
scaffold_103387.1-120017	93441	93442	Aluexon:469	chr10:104476369:104476370:+	+	55	-9.61	15	15	5
scaffold_103394.1-9296	1690	1691	Aluexon:6206	chr10:104580972:104580973:+	+	5	-7.81	5	1	5
scaffold_103402.1-124522	9967	9968	Aluexon:486	chr10:105160527:105160528:+	+	33	7.66	24	24	5
scaffold_103406.1-249956	794	795	Aluexon:5696	chr10:105433314:105433315:-	-	28	3.36	14	14	5
scaffold_103568.1-218011	84254	84255	Aluexon:5067	chr18:77684028:77684029:-	-	23	-17.53	18	18	12
scaffold_103577.1-270911	44817	44818	Aluexon:4764	chr10:120918788:120918789:-	-	33	1.52	16	16	6
scaffold_103598.1-437496	57235	57236	Aluexon:3802	chr9:96210771:96210772:-	+	28	2.31	17	17	5
scaffold_103624.1-441469	76497	76498	Aluexon:499	chr10:123728856:123728857:-	-	41	-0.31	16	16	9
scaffold_103656.1-171238	56736	56737	Aluexon:495	chr10:126103634:126103635:-	-	39	-15.09	14	7	14
scaffold_103669.1-288452	87864	87865	Aluexon:497	chr10:127437809:127437810:-	-	28	-11.77	5	5	4
scaffold_103816.1-77846	61997	61998	Aluexon:3897	chr8:56981089:56981090:-	-	22	-3.83	8	8	5
scaffold_103925.1-243392	84126	84127	Aluexon:3657	chr8:66442833:66442834:-	-	31	-25.62	5	4	5
scaffold_103950.1-99166	85374	85375	Aluexon:3664	chr8:67973657:67973658:-	-	24	-28.87	6	2	6
scaffold_103950.1-99166	97257	97258	Aluexon:3662	chr8:67987039:67987040:+	+	18	-31.22	4	4	3
scaffold_103950.1-99166	97268	97269	Aluexon:3663	chr8:67987050:67987051:+	+	29	-16.64	4	4	3
scaffold_103997.1-87259	36227	36228	Aluexon:6647	chr8:71572378:71572379:+	+	26	5.01	13	13	6
scaffold_104050.1-13598	13348	13349	Aluexon:3667	chr8:74876860:74876861:-	-	23	-14.46	8	7	8
scaffold_104141.1-244277	202835	202836	Aluexon:2632	chr21:35279098:35279099:-	-	204	4.57	15	15	2
scaffold_104281.1-198942	193717	193718	Aluexon:3686	chr8:94775176:94775177:+	+	29	8.40	8	8	6
scaffold_104286.1-86693	37060	37061	Aluexon:4667	chr8:95481186:95481187:-	-	19	7.45	8	8	5
scaffold_104417.1-63582	44855	44856	Aluexon:4163	chr5:98200366:98200367:-	+	36	-0.41	8	8	6
scaffold_104458.1-356080	17729	17730	Aluexon:3149	chr5:93947642:93947643:-	+	31	8.88	11	11	5
scaffold_104497.1-9469	4160	4161	Aluexon:3147	chr5:90609594:90609595:-	+	29	0.77	5	5	5
scaffold_104533.1-433808	106643	106644	Aluexon:3145	chr5:87517288:87517289:-	+	39	-14.56	4	4	4
scaffold_1046.1-194446	158202	158203	Aluexon:2725	chr22:45562188:45562189:+	-	32	-0.70	12	12	4
scaffold_104700.1-154171	84836	84837	Aluexon:5342	chr15:25618667:25618668:+	-	44	-4.92	7	7	4
scaffold_104704.1-173759	145889	145890	Aluexon:5341	chr15:25219787:25219788:+	-	22	1.27	9	9	6
scaffold_104903.1-16571	6051	6052	Aluexon:4925	chr15:91286255:91286256:+	-	26	10.11	17	17	5
scaffold_104913.1-353353	273005	273006	Aluexon:1987	chr19:18328009:18328010:+	-	41	-11.84	5	3	5
scaffold_104923.1-91806	47325	47326	Aluexon:4924	chr15:83421208:83421209:+	+	51	-12.54	10	8	10
scaffold_105011.1-74978	63724	63725	Aluexon:6789	chr4:7035780:7035781:-	-	175	-6.10	8	8	5
scaffold_105046.1-63685	20568	20569	Aluexon:2989	chr4:2940418:2940419:+	-	176	7.65	9	7	9
scaffold_105068.1-260080	6193	6194	Aluexon:2967	chr4:1956262:1956263:+	-	170	3.62	6	6	5
scaffold_10520.1-94930	65126	65127	Aluexon:1260	chr15:85255242:85255243:-	-	242	-13.51	8	7	8
scaffold_10527.1-18330	4488	4489	Aluexon:6730	chr15:32825942:32825943:-	+	191	-21.93	7	7	6
scaffold_10528.1-114760	86542	86543	Aluexon:1256	chr15:83657580:83657581:-	-	22	2.75	6	6	5
